accession,symbol,mito_pathways,description,coverage_percent,abundance_raw_wt_spf_1,abundance_raw_wt_spf_2,abundance_raw_aso_spf_1,abundance_raw_aso_spf_2,abundance_raw_aso_spf_3,abundance_raw_wt_spf_3,abundance_raw_aso_spf_4,abundance_raw_wt_spf_4,abundance_raw_wt_gf_1,abundance_raw_wt_gf_2,abundance_raw_wt_gf_3,abundance_raw_wt_gf_4,abundance_raw_aso_gf_1,abundance_raw_aso_gf_2,abundance_raw_aso_gf_3,abundance_raw_aso_gf_4,abundance_norm_wt_spf_1,abundance_norm_wt_spf_2,abundance_norm_aso_spf_1,abundance_norm_aso_spf_2,abundance_norm_aso_spf_3,abundance_norm_wt_spf_3,abundance_norm_aso_spf_4,abundance_norm_wt_spf_4,abundance_norm_wt_gf_1,abundance_norm_wt_gf_2,abundance_norm_wt_gf_3,abundance_norm_wt_gf_4,abundance_norm_aso_gf_1,abundance_norm_aso_gf_2,abundance_norm_aso_gf_3,abundance_norm_aso_gf_4,abundance_scaled_wt_spf_1,abundance_scaled_wt_spf_2,abundance_scaled_aso_spf_1,abundance_scaled_aso_spf_2,abundance_scaled_aso_spf_3,abundance_scaled_wt_spf_3,abundance_scaled_aso_spf_4,abundance_scaled_wt_spf_4,abundance_scaled_wt_gf_1,abundance_scaled_wt_gf_2,abundance_scaled_wt_gf_3,abundance_scaled_wt_gf_4,abundance_scaled_aso_gf_1,abundance_scaled_aso_gf_2,abundance_scaled_aso_gf_3,abundance_scaled_aso_gf_4,exp_q-value_combined,sum_pep_score,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9CR68,Uqcrfs1,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrfs1 PE=1 SV=1",62,362565867.2,434018155.9,411587453.4,462465331.2,387248856.2,457969219,396076697.2,483377045.2,250578826.1,275066270,285784897.5,282661307.5,223696048.9,292003454.3,267142392.4,221272050.2,320146233.6,322318687.4,329443258.6,340229351.6,356629028.4,332741786.7,378552588.3,370199629.6,300306353.6,304216162.2,317426461.9,287238469.8,239505450.8,296432988.1,319112500.2,310740380.7,6.246464075,6.288851439,6.42786097,6.638311492,6.958290245,6.492219489,7.386047047,7.223070098,5.859362542,5.935647928,6.193397838,5.60439135,4.673058862,5.783788209,6.226294609,6.062943807,0,289.843,17,400,17,274,29.3,8.7,cell organization and biogenesis;other metabolic processes;other biological processes,other membranes;mitochondrion,other molecular function,66694,ENSMUSG00000038462,Uqcrfs1,Respiratory electron transport,Electron Transport Chain
Q8K2B3,Sdha,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdha PE=1 SV=1",50,451029592.7,545268991.3,523019671.8,605724371.1,511982595.5,571570408.7,480363783,624636278.4,328414566.2,349291887.8,351660960.9,364889484,311179318.8,400790635.5,350464594.5,281642546.5,431135983.2,438569461.1,489638911.2,441707667.3,420738400.5,403089461.4,455478942.2,448669944,378942762,394345696.2,378661302.4,404556906.5,359892526.9,306004100,364386768.2,370754116.1,6.646591144,6.761189068,7.548499262,6.809569102,6.486297213,6.21421303,7.021873427,6.91690277,5.841956376,6.079415113,5.837617266,6.23683584,5.548269167,4.717500325,5.617554463,5.715716435,0,538.061,25,596,25,664,72.5,7.37,other metabolic processes;developmental processes,other membranes;mitochondrion;nucleus,other molecular function,66945,ENSMUSG00000021577,Sdha,Citric acid cycle (TCA cycle),Electron Transport Chain; TCA Cycle
Q9CQA3,Sdhb,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdhb PE=1 SV=1",42,255559765,297165605.4,310720992.4,344037572.5,302447021,334133601.3,282959867,355848226.1,188861187.4,182358285.8,188799269.8,206215967,176728438.6,224828547.9,203020489.5,163228298.5,241524258.3,280291530.9,244842583.3,250872364.4,231180831.2,249704372.1,311237892.7,259006703,174080432.6,213818363.3,223785575.5,220156746.9,228633442.7,228381566.4,216849858.3,217004115.3,6.370367907,7.392881302,6.457891004,6.616930617,6.097552925,6.586124019,8.209112812,6.831479372,4.591490763,5.639605931,5.902497987,5.806785144,6.030363807,6.023720397,5.719563689,5.723632323,0,164.904,15,261,15,282,31.8,8.68,other metabolic processes,plasma membrane;other membranes;mitochondrion;nucleus,other molecular function,67680,ENSMUSG00000009863,Sdhb,Citric acid cycle (TCA cycle),Electron Transport Chain; TCA Cycle
Q03265,Atp5a1,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,"ATP synthase subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1a PE=1 SV=1",58,5382168526,6926159930,7114039267,7238558465,6441679010,6791530848,6176257139,7179254011,4238672012,4092039234,4242886459,4333003171,3963697161,4913955502,4189589344,3558316881,3924986601,5012821826,4970532219,4706724071,4830393195,5107668896,5114883524,4871138627,4413556068,4073447909,4019581369,4174759578,4297518642,4182218403,4191451008,4192667644,5.444991352,6.954105649,6.895438813,6.529467351,6.701029035,7.085683545,7.095692135,6.757553693,6.122766029,5.650946333,5.576219238,5.791492332,5.961791522,5.801839688,5.814647746,5.816335541,0,749.132,32,2279,2,553,59.7,9.19,other metabolic processes;transport;other biological processes,plasma membrane;other membranes;mitochondrion;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;transporter activity;other molecular function,11946,ENSMUSG00000025428; ENSMUSG00000116276,Atp5f1a,Formation of ATP by chemiosmotic coupling; Cristae formation,Oxidative phosphorylation; Electron Transport Chain
Q9CXT8,Pmpcb,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Mitochondrial-processing peptidase subunit beta OS=Mus musculus OX=10090 GN=Pmpcb PE=1 SV=1,20,7186732.998,9552873.746,8629947.609,10724654.22,8499048.031,10641537.05,9626136.984,9564094.023,4992671.289,4255809.453,4984818.25,5073710.109,3736710.406,5998026.414,4417686.742,3967208.082,8131468.809,7700973.786,10922346.82,7172057.663,4697641.16,6968275.336,7336810.05,8263438.942,5052207.326,4867891.004,4823554.383,5583886.712,5423103.901,6284311.386,5780578.039,5414713.155,7.787028415,7.374768705,10.45968779,6.868256908,4.498654063,6.673106584,7.026030558,7.913408433,4.838201182,4.661692304,4.619233735,5.347359193,5.193386972,6.018114621,5.535718885,5.185351649,0,93.929,7,69,6,489,54.6,6.99,cell organization and biogenesis;protein metabolism;other metabolic processes;transport,mitochondrion,other molecular function,73078,ENSMUSG00000029017,Pmpcb,Processing of SMDT1,
Q9CXV1,Sdhd,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial OS=Mus musculus OX=10090 GN=Sdhd PE=1 SV=2",11,38707999.22,40483106.31,44185950,48248675.06,41418396.06,44581454.44,37922974.28,44840105.06,20133274.75,21394044.88,25137317.97,25967965.63,22508757,28103041.22,24603588.48,21912424.16,31763152.23,37191354.4,38672188.17,33971032.07,36099131.11,32890718.31,31321751.43,39596278.09,21243708.56,31054644.65,27280455.79,24852626.25,27074096.81,30184648.76,25118101.76,29396551.53,6.381853721,7.472488301,7.770017478,6.82546102,7.253038757,6.608404339,6.293167455,7.95568566,4.26828671,6.239500353,5.481190187,4.993390586,5.439728532,6.064700745,5.046729936,5.906356221,0,25.378,3,54,3,159,17,9.1,other metabolic processes;stress response;other biological processes,other membranes;mitochondrion,other molecular function,66925,ENSMUSG00000000171,Sdhd,Citric acid cycle (TCA cycle),Electron Transport Chain; TCA Cycle
Q9DB77,Uqcrc2,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits","Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus OX=10090 GN=Uqcrc2 PE=1 SV=1",54,1265187419,1362618666,1399771884,1532510644,1290704067,1470580969,1336854295,1615661901,1067134239,1076743507,1184364469,1204476455,1036939947,1251102939,1079543524,858682380.1,1289011680,1170959679,1177400974,1177378903,1153618303,1281741137,1215573802,1328344776,1203863070,1296780921,1098444562,1154118296,966694389,1163281250,1134381424,1118831807,6.809206246,6.185596365,6.219622516,6.219505925,6.093990521,6.770799591,6.421270542,7.016983388,6.359408581,6.850247278,5.802535144,6.096631732,5.106564646,6.145035052,5.992371674,5.9102308,0,751.035,20,883,20,453,48.2,9.25,protein metabolism;other biological processes,other membranes;mitochondrion;nucleus,other molecular function,67003,ENSMUSG00000030884,Uqcrc2,Respiratory electron transport,Electron Transport Chain
Q9CXI0,Coq5,Metabolism > Metals and cofactors > Coenzyme Q metabolism,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Mus musculus OX=10090 GN=Coq5 PE=1 SV=2",42,8362512.547,8240914.313,11585248.25,17773314.91,10427817.97,14698418.7,16513576.16,11552528.81,6104968.02,6455158.086,7677883.633,9695605.453,6959835.813,11248869.09,8796845.398,5882759.461,8040495.247,11400146.4,12211713.65,11228603.66,11764191.58,11445881.77,11042494.73,8740843.018,6632987.073,7356285.838,8121537.872,7761283.441,7203185.721,9915781.114,8539680.943,8546582.312,5.362056948,7.602545907,8.143765029,7.488147235,7.845320873,7.633045977,7.36403465,5.82910587,4.423415888,4.905770401,5.41610277,5.175855781,4.803670776,6.612650264,5.694954618,5.699557013,0,151.983,10,67,10,327,37.3,7.49,other metabolic processes,other membranes;mitochondrion;other cell component,other molecular function,52064,ENSMUSG00000041733,Coq5,,
Q60597,Ogdh,Metabolism > Carbohydrate metabolism > TCA cycle,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ogdh PE=1 SV=3",49,502026570.3,644692799.7,586729663,627303999.9,552434648.4,577652400.2,566687443.2,612757529.4,348431675.3,373031874.3,384820926.9,352156717,294246983.6,411226538.1,338576440.5,292037230.7,435497756.4,493447105.9,454050689.5,526508735.7,539571392,418619587,434139912,451168259.1,380985078.3,344633486.2,361975498.1,417134122.6,406696573,362797438.5,403851234.9,370059183.3,6.403308991,7.255362958,6.676100669,7.741482182,7.933547981,6.15514208,6.383344027,6.633719068,5.601785868,5.067292928,5.322279915,6.133300663,5.979832926,5.334365255,5.937996708,5.441137781,0,1036.129,44,998,36,1023,116.4,6.83,protein metabolism;other metabolic processes;developmental processes,other membranes;mitochondrion;nucleus;other cell component,other molecular function,18293,ENSMUSG00000020456,Ogdh,Glyoxylate metabolism and glycine degradation; Lysine catabolism; Citric acid cycle (TCA cycle),TCA Cycle; Amino Acid metabolism; Tryptophan metabolism
Q9CQ69,Uqcrq,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Cytochrome b-c1 complex subunit 8 OS=Mus musculus OX=10090 GN=Uqcrq PE=1 SV=3,46,194734310.5,245614606.6,225725809.2,262952014.1,210835538.9,250392078,215910555.4,241846376.3,139891502.3,145845248.4,145853238.4,148017296.3,119799339,161515556.1,147195107,118163534.1,199956430.1,186655306.7,188345273.1,215276053.6,178998742.2,184189629.5,201486853.1,179270065.6,133823906.2,161105118,145009829.4,160281419.3,165397816.2,154718964.7,164129995.8,176345065.7,7.154100604,6.678209059,6.738673178,7.702210652,6.404270216,6.589991327,7.208856535,6.413977707,4.787991504,5.764066811,5.188204791,5.734596274,5.917652242,5.535581121,5.872291789,6.30932619,0,74.104,5,161,5,82,9.8,10.26,other metabolic processes;developmental processes,other membranes;mitochondrion,other molecular function,22272,ENSMUSG00000044894,Uqcrq,Respiratory electron transport,Electron Transport Chain
P08249,Mdh2,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,"Malate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Mdh2 PE=1 SV=3",63,2291195654,2845825999,2742341051,3246715826,2613112926,2996326174,2980572440,3207045585,1693633391,1709967542,1819730356,1952272912,1724304610,2241122315,1912255891,1537845852,2327820456,2325274628,2463737015,2309800535,2376185560,2335891457,2327818368,2510040665,1849057510,2122342017,2557130697,1736693490,1833209111,2195035526,1442844827,2260493348,6.655978847,6.648699516,7.044607506,6.604454162,6.794270058,6.679056405,6.655972875,7.177004364,5.287043355,6.068450655,7.311649739,4.965758893,5.241727743,6.276304511,4.125552133,6.463469239,0,332.803,21,694,11,338,35.6,8.68,other metabolic processes,other membranes;mitochondrion;other cell component,other molecular function,17448,ENSMUSG00000019179,Mdh2,Gluconeogenesis; Citric acid cycle (TCA cycle),Glycolysis and Gluconeogenesis; TCA Cycle
P53395,Dbt,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dbt PE=1 SV=2",39,30500489.81,27078395.23,29872720.76,33862525.44,25662628.3,41774539,29735650.8,37145469.77,21385494.77,18080714.73,17670224.72,20666189.85,15705648.73,20998634.27,17401378.78,14491060.96,30889795.8,26891672.18,23338168.71,28319768.54,24853382.09,34989779.88,30986402.34,25751500.55,22489960.65,14885535.77,19631663.89,22088507.52,17401485.86,21873105.41,23957247.83,21037614.99,7.932958085,6.906180592,5.993588151,7.272936935,6.382717441,8.985894854,7.957768077,6.613367592,5.775755732,3.822826544,5.041702697,5.672656608,4.468959874,5.617338149,6.152576861,5.402771808,0,138.44,17,120,17,482,53.2,8.6,,mitochondrion;other cell component,other molecular function,13171,ENSMUSG00000000340,Dbt,Branched-chain amino acid catabolism; Glyoxylate metabolism and glycine degradation; RHOH GTPase cycle,
Q8BMF4,Dlat,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dlat PE=1 SV=2",33,446136680.5,549555783.7,478769056.2,599372602.3,495517500.5,589666225.3,591919006.1,566468033.1,286074931.4,271276073.3,289062168.3,301432365.3,262783587.9,334182205.9,268522815,215239788.7,422664151.8,443037119.7,368232276.5,415113141.5,398573790.6,411386294.4,391247576.2,469705683.7,330258257.1,344597437.6,272517242.3,367417231.6,310254856.1,342122656.3,326393450.2,351392894.6,7.085838078,7.427384791,6.17330397,6.959247648,6.681970378,6.896768172,6.559148585,7.87447529,5.536680894,5.777072966,4.568670052,6.159639986,5.20132986,5.735583998,5.471888562,5.89099677,0,298.733,18,415,18,642,67.9,8.57,protein metabolism;other metabolic processes;other biological processes,mitochondrion;other cell component,other molecular function,235339,ENSMUSG00000000168,Dlat,Signaling by Retinoic Acid; Glyoxylate metabolism and glycine degradation; Regulation of pyruvate dehydrogenase (PDH) complex,Glycolysis and Gluconeogenesis; TCA Cycle
