"","Accession","log2_foldchange","foldchange","AveExpr","t","p_value","adj_p_value","q_value","B","description","exp_q.value_combined","sum_pep_score","coverage_percent","num_peptides","num_psms","num_unique_peptides","num_aas","mw_kda","calc_pi","biological_process","cellular_component","molecular_function","entrez_gene_id","ensembl_gene_id","gene_symbol","reactome_pathways","wikipathways"
"11","Q8CIM3",0.746278314896458,1.67745994181152,20.8983345405211,-1.74816503410848,0.0984568436236297,0.999721833650411,0.999721833650411,-4.37217909509193,"D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=D2hgdh PE=1 SV=3",0,59.18,12,4,30,4,535,58.5,7.37,"protein metabolism;other metabolic processes;other biological processes","mitochondrion","other molecular function","98314","ENSMUSG00000073609","D2hgdh","Interconversion of 2-oxoglutarate and 2-hydroxyglutarate",NA
"12","Q91VC7",0.746162480835419,1.67732526387091,20.8414308555846,-2.77144823346986,0.012576945486943,0.999721833650411,0.999721833650411,-3.86928391517753,"Protein phosphatase 1 regulatory subunit 14A OS=Mus musculus OX=10090 GN=Ppp1r14a PE=1 SV=1",0,19.559,20,2,8,2,147,16.6,7.34,"other biological processes","other cell component","enzyme regulator activity","68458","ENSMUSG00000037166","Ppp1r14a","RHO GTPases activate PKNs",NA
"13","E9QKI5",0.743208266092449,1.67389410969752,22.8053362456852,-2.496745664254,0.0246525607038132,0.999721833650411,0.999721833650411,-4.1739620287225,"Proline-rich AKT1 substrate 1 OS=Mus musculus OX=10090 GN=Akt1s1 PE=1 SV=1",0.043,1.306,9,1,4,1,283,30.1,4.68,"cell organization and biogenesis;signal transduction;other biological processes","cytosol;nucleus;other cell component",NA,"67605","ENSMUSG00000011096","Akt1s1",NA,"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway"
"14","E9Q6H8",-0.718833081784425,-1.6458502564925,19.7072364848624,1.85265305484372,0.085110317499809,0.999721833650411,0.999721833650411,-4.45988207292131,"Pleckstrin homology domain-containing, family A member 5 OS=Mus musculus OX=10090 GN=Plekha5 PE=1 SV=1",0,35.061,4,4,9,4,1269,144.3,7.39,"developmental processes","cytosol;nucleus;other cell component","other molecular function","109135","ENSMUSG00000030231","Plekha5","Synthesis of PIPs at the plasma membrane",NA
"15","Q80YX1",0.713305457981427,1.63955631742381,19.1152476743308,-2.9239590420974,0.00905889163143637,0.999721833650411,0.999721833650411,-3.79598405251576,"Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1",0,8.675,1,3,4,3,2110,231.7,4.89,"cell adhesion;cell-cell signaling;cell organization and biogenesis;stress response;developmental processes;other biological processes","non-structural extracellular;extracellular matrix","other molecular function","21923","ENSMUSG00000028364","Tnc","ECM proteoglycans; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Integrin cell surface interactions","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Focal Adhesion"
"16","P40124",0.70967395469194,1.63543447143211,26.5727392908415,-3.640592608448,0.00186864320526695,0.999721833650411,0.999721833650411,-3.46271911725933,"Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4",0,275.894,49,17,229,15,474,51.5,7.52,"cell organization and biogenesis;transport;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function","12331","ENSMUSG00000028656","Cap1","Neutrophil degranulation","Insulin Signaling"
"17","Q99K48",0.700782328237246,1.62538594956173,17.9609421236432,-2.07049630437398,0.0549307654064637,0.999721833650411,0.999721833650411,-4.24952164483098,"Non-POU domain-containing octamer-binding protein OS=Mus musculus OX=10090 GN=Nono PE=1 SV=3",0,32.428,16,5,12,4,473,54.5,8.95,"DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes","nucleus","nucleic acid binding activity;other molecular function","53610","ENSMUSG00000031311","Nono",NA,"mRNA processing"
"18","Q9D173",-0.688468508523984,-1.61157184761267,15.2477166759401,2.10167714298018,0.0541477428698224,0.999721833650411,0.999721833650411,-4.30524352723604,"Mitochondrial import receptor subunit TOM7 homolog OS=Mus musculus OX=10090 GN=Tomm7 PE=3 SV=1",0.001,5.134,31,1,11,1,55,6.2,10.17,"cell organization and biogenesis;stress response;transport;other biological processes","other membranes;mitochondrion",NA,"66169","ENSMUSG00000028998","Tomm7","PINK1-PRKN Mediated Mitophagy",NA
"19","Q9CPU0",-0.67956475620397,-1.60165648172721,24.7364524773301,3.26995795210146,0.00425110888087738,0.999721833650411,0.999721833650411,-3.63207820144422,"Lactoylglutathione lyase OS=Mus musculus OX=10090 GN=Glo1 PE=1 SV=3",0,127.529,61,11,127,11,184,20.8,5.47,"other metabolic processes;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;nucleus","other molecular function","109801","ENSMUSG00000024026","Glo1","Pyruvate metabolism",NA
"20","A0A0R4J0A6",-0.674021070631483,-1.59551378200455,23.3380223230868,2.84537690698963,0.0107328187289331,0.999721833650411,0.999721833650411,-3.83370461596842,"Vesicular glutamate transporter 2 OS=Mus musculus OX=10090 GN=Slc17a6 PE=1 SV=1",0,98.192,15,9,90,8,582,64.5,6.83,"transport","other membranes;other cell component","transporter activity","140919","ENSMUSG00000030500","Slc17a6",NA,NA
"21","A0A087WQS2",0.657528179138012,1.57737772967707,19.3665911517345,-1.78571480937832,0.09309579779601,0.999721833650411,0.999721833650411,-4.33524201074291,"Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Bzw1 PE=1 SV=1",0,6.319,5,3,15,3,451,51.2,6.95,NA,NA,NA,"66882","ENSMUSG00000051223","Bzw1",NA,NA
"22","Q0GA42",0.637771035336712,1.55592339880784,18.9188183758233,-1.44668337286505,0.168542059025137,0.999721833650411,0.999721833650411,-4.50529791166904,"Metal transporter CNNM1 OS=Mus musculus OX=10090 GN=Cnnm1 PE=1 SV=5",0,20.627,4,3,9,2,951,103.9,6.51,"transport","plasma membrane;other membranes;other cell component","transporter activity","83674","ENSMUSG00000025189","Cnnm1",NA,NA
"23","Q5HZI2",0.634539584602312,1.55244223130048,22.7692599639966,-1.53126201907851,0.14307879763321,0.999721833650411,0.999721833650411,-4.43726878277951,"C2 calcium-dependent domain-containing protein 4C OS=Mus musculus OX=10090 GN=C2cd4c PE=1 SV=1",0,74.743,26,7,50,7,419,44.6,9.73,NA,"cytosol",NA,"237397","ENSMUSG00000045912","C2cd4c",NA,NA
"24","Q8VEB6",0.629669176134055,1.54721016267103,24.1932895934893,-4.17161834377476,0.000572500570842633,0.999721833650411,0.999721833650411,-3.23570000859185,"Zinc phosphodiesterase ELAC protein 1 OS=Mus musculus OX=10090 GN=Elac1 PE=2 SV=1",0.017,1.896,3,1,2,1,362,39.7,6.6,"RNA metabolism OR transcription;other metabolic processes","cytosol;nucleus","other molecular function","114615","ENSMUSG00000036941","Elac1",NA,NA
"25","Q5SRF8",-0.629308481614412,-1.5468233862189,18.0817679411475,3.391242282432,0.00438378899156639,0.999721833650411,0.999721833650411,-3.91680282499495,"Sprouty-related, EVH1 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Spred2 PE=1 SV=1",0.002,3.722,8,2,3,2,437,49.6,6.71,"developmental processes;other biological processes","other membranes",NA,NA,"ENSMUSG00000045671","Spred2",NA,NA
"26","Q80UM7",0.628069574238889,1.54549562931539,18.630713414417,-1.85758068204343,0.0806248342373058,0.999721833650411,0.999721833650411,-4.3301678490857,"Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1",0,13.966,4,2,6,2,834,91.8,9,"protein metabolism;other metabolic processes","other membranes;ER/Golgi","other molecular function","57377","ENSMUSG00000030036","Mogs",NA,NA
"27","D6RFU9",0.615024357875221,1.53158385551384,18.3309633636606,-1.47381140026465,0.162640799230841,0.999721833650411,0.999721833650411,-4.52768483392597,"Synaptophysin-like protein OS=Mus musculus OX=10090 GN=Sypl PE=1 SV=1",0,9.3,15,1,6,1,79,8.9,9.29,NA,"other membranes;ER/Golgi",NA,NA,"ENSMUSG00000020570","Sypl",NA,NA
"28","Q91UZ1",-0.607475030818691,-1.52359032402837,19.5613479956408,1.9868519399751,0.062365796061728,0.999721833650411,0.999721833650411,-4.24150407658539,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Mus musculus OX=10090 GN=Plcb4 PE=1 SV=1",0,130.893,18,13,17,13,1175,134.4,6.9,"other metabolic processes;signal transduction;other biological processes","ER/Golgi;nucleus;other cell component","other molecular function","18798","ENSMUSG00000039943","Plcb4","G alpha (q) signalling events; Synthesis of IP3 and IP4 in the cytosol; PLC beta mediated events","Splicing factor NOVA regulated synaptic proteins; Alzheimers Disease; Chemokine signaling pathway"
"29","Q8QZY2",0.591144958626387,1.5064418227838,19.2875668448021,-1.94381441022961,0.0697055255156007,0.999721833650411,0.999721833650411,-4.29930699141606,"Glycerate kinase OS=Mus musculus OX=10090 GN=Glyctk PE=1 SV=1",0.001,4.515,7,2,7,2,523,55.3,6.67,"protein metabolism;other metabolic processes","cytosol;ER/Golgi;other cell component","kinase activity;other molecular function","235582",NA,"Glyctk","Fructose catabolism",NA
"30","Q99J39",-0.585305798445933,-1.50035697624564,20.9744462809502,1.61904006118582,0.123826691848842,0.999721833650411,0.999721833650411,-4.40287257453595,"Malonyl-CoA decarboxylase, mitochondrial OS=Mus musculus OX=10090 GN=Mlycd PE=1 SV=1",0,54.593,17,7,24,7,492,54.7,8.94,"other metabolic processes;stress response;other biological processes","cytosol;mitochondrion;other cytoplasmic organelle;other cell component","other molecular function","56690","ENSMUSG00000074064","Mlycd","Peroxisomal protein import; Beta-oxidation of very long chain fatty acids",NA
"31","D3YVC9",-0.566704741931265,-1.48113664157693,18.0296614930942,3.15421584616523,0.00578627870817195,0.999721833650411,0.999721833650411,-3.70307124214099,"Graves disease carrier protein homolog (Fragment) OS=Mus musculus OX=10090 GN=Slc25a16 PE=1 SV=1",0,6.174,3,1,2,1,322,34.9,9.95,"transport","other membranes;mitochondrion",NA,NA,"ENSMUSG00000071253","Slc25a16",NA,NA
"32","P61924",-0.552303448989711,-1.46642516501452,16.6565849265545,3.33362975790072,0.00393056047764541,0.999721833650411,0.999721833650411,-3.62201326302431,"Coatomer subunit zeta-1 OS=Mus musculus OX=10090 GN=Copz1 PE=1 SV=1",0,26.716,19,2,7,2,177,20.2,4.81,"transport","other membranes;ER/Golgi",NA,"56447","ENSMUSG00000060992","Copz1","COPI-mediated anterograde transport; COPI-dependent Golgi-to-ER retrograde traffic",NA
"33","P0C192",0.551713790107158,1.46582592961454,24.5730627868046,-3.3880868834713,0.00327427715371232,0.999721833650411,0.999721833650411,-3.57727315679139,"Leucine-rich repeat-containing protein 4B OS=Mus musculus OX=10090 GN=Lrrc4b PE=1 SV=1",0,101.432,21,11,71,10,709,76.1,7.24,"cell adhesion;cell organization and biogenesis;other biological processes","plasma membrane;other membranes;other cell component","signal transduction activity or receptor binding","272381","ENSMUSG00000047085","Lrrc4b","Receptor-type tyrosine-protein phosphatases",NA
"34","A0A571BDM4",-0.551537003647731,-1.46564631972315,19.705303444314,2.82124485600748,0.012886559771325,0.999721833650411,0.999721833650411,-3.88391819484266,"AP2-associated protein kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1",0,154.139,55,8,114,1,237,25.2,8.66,NA,NA,NA,NA,"ENSMUSG00000057230","Aak1",NA,NA
"35","Q8C3X4",0.549921049755977,1.46400557730865,19.799656110882,-1.56180105011188,0.135732640375702,0.999721833650411,0.999721833650411,-4.42499962835753,"Translation factor Guf1, mitochondrial OS=Mus musculus OX=10090 GN=Guf1 PE=1 SV=1",0,40.238,8,4,9,4,651,72.4,8.76,"protein metabolism;other metabolic processes;other biological processes","other membranes;mitochondrion","translation activity;other molecular function","231279","ENSMUSG00000029208","Guf1",NA,NA
"36","Q99MR3",0.549067254612282,1.46313942678979,19.1920029441238,-2.71340710962317,0.0147491401935934,0.999721833650411,0.999721833650411,-3.9796629056055,"Solute carrier family 12 member 9 OS=Mus musculus OX=10090 GN=Slc12a9 PE=1 SV=2",0,11.039,3,3,6,3,914,96.3,7.02,"cell organization and biogenesis;transport;other biological processes","plasma membrane;other membranes","transporter activity","83704","ENSMUSG00000037344","Slc12a9",NA,NA
"37","Q9CPY1",0.546962844816662,1.46100675127783,17.6957636813725,-2.39132430118969,0.0303225794856524,0.999721833650411,0.999721833650411,-4.12787158193159,"39S ribosomal protein L51, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl51 PE=1 SV=1",0,10.033,13,1,4,1,128,15.1,11,"protein metabolism;other metabolic processes","mitochondrion;translational apparatus","other molecular function","66493","ENSMUSG00000030335","Mrpl51","Mitochondrial translation elongation; Mitochondrial translation termination",NA
"38","O70340",0.540824363863663,1.4548035626052,20.9617624721576,-2.62143812681733,0.0172942001115449,0.999721833650411,0.999721833650411,-3.94159867111582,"Neuronal pentraxin-2 OS=Mus musculus OX=10090 GN=Nptx2 PE=2 SV=1",0.002,3.294,5,2,9,2,429,47.1,5.81,"other biological processes","non-structural extracellular;other cell component","other molecular function","53324","ENSMUSG00000059991","Nptx2",NA,NA
"39","Q61656",0.537603526205494,1.45155931525839,19.3427540307682,-1.72999816659292,0.100727873921118,0.999721833650411,0.999721833650411,-4.35500103815953,"Probable ATP-dependent RNA helicase DDX5 OS=Mus musculus OX=10090 GN=Ddx5 PE=1 SV=2",0,49.999,19,9,10,8,614,69.2,8.92,"RNA metabolism OR transcription;other metabolic processes;transport;developmental processes;signal transduction;other biological processes","nucleus;other cell component","signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function",NA,NA,"Ddx5","SUMOylation of transcription cofactors; mRNA Splicing - Major Pathway; Estrogen-dependent gene expression",NA
"40","Q9DAM5",-0.527956317451633,-1.44188521277123,19.3279184124703,2.19986403487703,0.041110145877658,0.999721833650411,0.999721833650411,-4.14295473134521,"Mitochondrial thiamine pyrophosphate carrier OS=Mus musculus OX=10090 GN=Slc25a19 PE=1 SV=1",0,21.739,8,2,7,2,318,35.6,9.2,"transport","other membranes;mitochondrion","transporter activity","67283","ENSMUSG00000020744","Slc25a19","Vitamin B1 (thiamin) metabolism",NA
"41","Q8R081",-0.522987146428537,-1.43692737430212,19.6289548217348,0.95372497379719,0.354399694076308,0.999721833650411,0.999721833650411,-4.61923993547478,"Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus OX=10090 GN=Hnrnpl PE=1 SV=2",0,73.118,16,6,17,6,586,63.9,8.1,"RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity","15388","ENSMUSG00000015165","Hnrnpl","mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA","mRNA processing"
"42","F8VQC9",-0.521700779507029,-1.43564672109878,16.6959082292969,2.13565467505783,0.0466907157725625,0.999721833650411,0.999721833650411,-4.17298898335333,"Anion exchange protein OS=Mus musculus OX=10090 GN=Slc4a7 PE=1 SV=1",0,53.562,7,7,29,2,1131,127.1,6.44,"transport","plasma membrane;other membranes;other cell component","transporter activity","218756","ENSMUSG00000021733","Slc4a7",NA,NA
"43","D3Z3S1",-0.511894012546271,-1.42592095836878,19.5868079711214,2.24887127774555,0.0372703503639754,0.999721833650411,0.999721833650411,-4.11987446784044,"Prolactin regulatory element-binding protein OS=Mus musculus OX=10090 GN=Preb PE=1 SV=1",0,20.097,12,3,8,3,350,37.9,8.56,NA,NA,NA,"50907","ENSMUSG00000045302","Preb",NA,NA
"44","Q00977",-0.511532819586563,-1.42556400965107,17.2261140011517,3.38265001686988,0.00409708987514226,0.999721833650411,0.999721833650411,-3.89976097097208,"Gap junction beta-2 protein OS=Mus musculus OX=10090 GN=Gjb2 PE=1 SV=1",0,15.182,7,1,1,1,226,26.4,9.01,"cell-cell signaling;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;other cell component","transporter activity;other molecular function","14619","ENSMUSG00000046352","Gjb2","Transport of connexons to the plasma membrane","Calcium Regulation in the Cardiac Cell"
"45","Q8K310",-0.511108898358209,-1.42514518373846,19.3175236226707,0.82866428323894,0.420274586798658,0.999721833650411,0.999721833650411,-4.63856320765257,"Matrin-3 OS=Mus musculus OX=10090 GN=Matr3 PE=1 SV=1",0,78.552,14,11,23,11,846,94.6,6.25,"stress response;developmental processes;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","17184","ENSMUSG00000037236","Matr3",NA,"mRNA processing"
"46","E9QP54",-0.509431111430526,-1.42348876982736,18.963542924833,2.19147832415124,0.0458098928655167,0.999721833650411,0.999721833650411,-4.24782250693641,"Jouberin OS=Mus musculus OX=10090 GN=Ahi1 PE=1 SV=1",0,19.476,6,5,5,5,1047,119.6,7.2,NA,"cytoskeleton;other cell component","other molecular function","52906","ENSMUSG00000019986","Ahi1",NA,NA
"47","Q5FWJ7",0.502197842725131,1.41636965751385,21.9570382949501,-1.9899213733062,0.0619995946149309,0.999721833650411,0.999721833650411,-4.24010836773087,"Vesicle transport through interaction with t-SNAREs homolog 1A OS=Mus musculus OX=10090 GN=Vti1a PE=1 SV=1",0,44.228,31,6,36,6,224,25.9,6.4,"cell organization and biogenesis;transport","other membranes;ER/Golgi","other molecular function","53611","ENSMUSG00000024983","Vti1a",NA,NA
"48","A6H630",0.496753584583924,1.41103481504379,19.7413894525268,-2.12487374153274,0.0485482361749875,0.999721833650411,0.999721833650411,-4.1822599469405,"Damage-control phosphatase ARMT1 OS=Mus musculus OX=10090 GN=Armt1 PE=1 SV=1",0.002,3.508,7,2,2,2,439,50.5,5.92,"protein metabolism;other metabolic processes;stress response;other biological processes",NA,"other molecular function","73419","ENSMUSG00000061759","Armt1",NA,NA
"49","Q8K1C0",0.496377783763588,1.41066730911324,20.2047483559666,-2.26928620356532,0.0357706566613757,0.999721833650411,0.999721833650411,-4.11022409434857,"Protein angel homolog 2 OS=Mus musculus OX=10090 GN=Angel2 PE=1 SV=1",0,24.187,10,3,20,3,544,62.4,8.21,"RNA metabolism OR transcription;other metabolic processes;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function","52477","ENSMUSG00000026634","Angel2",NA,NA
"50","P01897",-0.496293295388188,-1.410584698793,17.5090538373046,1.76213534872737,0.096003136177965,0.999721833650411,0.999721833650411,-4.34309464897533,"H-2 class I histocompatibility antigen, L-D alpha chain OS=Mus musculus OX=10090 GN=H2-L PE=1 SV=2",0,29.59,12,4,4,4,362,40.7,6.25,"stress response;other biological processes","non-structural extracellular;plasma membrane;other membranes;ER/Golgi",NA,NA,NA,"H2-L",NA,NA
"51","E0CYK1",0.489854549715609,1.40430328891355,20.921285199147,-1.63682286493195,0.119019362971332,0.999721833650411,0.999721833650411,-4.39426507216423,"Synaptopodin (Fragment) OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=1",0,15.2,80,1,4,1,15,1.8,4.45,NA,NA,NA,NA,"ENSMUSG00000043079","Synpo",NA,"Primary Focal Segmental Glomerulosclerosis FSGS"
"52","Q69ZS6",0.48540344863931,1.39997731351589,23.1504612189576,-1.89914072985258,0.0736823181155031,0.999721833650411,0.999721833650411,-4.28102824919083,"Synaptic vesicle glycoprotein 2C OS=Mus musculus OX=10090 GN=Sv2c PE=1 SV=2",0,46.363,8,6,68,5,727,82.2,5.11,"cell-cell signaling;transport","other membranes;ER/Golgi;other cell component","transporter activity","75209","ENSMUSG00000051111","Sv2c",NA,NA
"53","Q9WTS5",0.480596526499824,1.39532048512765,19.7575717730223,-1.7641238173648,0.0946635290544632,0.999721833650411,0.999721833650411,-4.34034110898744,"Teneurin-2 OS=Mus musculus OX=10090 GN=Tenm2 PE=1 SV=1",0,23.834,2,6,15,5,2764,306.3,6.68,"cell adhesion;cell-cell signaling;cell organization and biogenesis;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;ER/Golgi;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function",NA,NA,"Tenm2",NA,NA
"54","O55042",0.480152021309245,1.3948906426162,29.1178596687299,-2.58112556485317,0.0188243237289386,0.999721833650411,0.999721833650411,-3.96102623148341,"Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2",0,204.779,82,9,279,6,140,14.5,4.77,"cell-cell signaling;cell organization and biogenesis;other metabolic processes;stress response;transport;signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;translational apparatus;nucleus;other cell component","enzyme regulator activity;cytoskeletal activity;other molecular function","20617","ENSMUSG00000025889","Snca",NA,"Alzheimers Disease; Parkinsons Disease Pathway; EGFR1 Signaling Pathway"
"55","Q9QZQ8",-0.480130249861787,-1.39486959273502,19.2526760805427,1.00252086420656,0.331002247656287,0.999721833650411,0.999721833650411,-4.60890588396082,"Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=Macroh2a1 PE=1 SV=3",0,28.257,15,5,11,5,372,39.7,9.8,"cell organization and biogenesis;other biological processes","cytoskeleton;nucleus;other cell component","enzyme regulator activity;nucleic acid binding activity;other molecular function","26914","ENSMUSG00000015937","Macroh2a1",NA,NA
"56","Q8BGX3",0.476277905847716,1.39114992263089,18.0925887938407,-2.16262894526091,0.0442669380405016,0.999721833650411,0.999721833650411,-4.16040199257942,"Leucine-rich repeat and transmembrane domain-containing protein 2 OS=Mus musculus OX=10090 GN=Lrtm2 PE=2 SV=1",0,14.537,6,2,3,2,370,41,6.4,"cell organization and biogenesis;developmental processes;other biological processes","other membranes","signal transduction activity or receptor binding;other molecular function","211187","ENSMUSG00000055003","Lrtm2",NA,NA
