Accession,log2_foldchange,foldchange,AveExpr,t,p_value,adj_p_value,q_value,B,description,exp_q-value_combined,sum_pep_score,coverage_percent,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q8CIM3,-0.7462783148964576,-1.6774599418115224,20.898334540521105,-1.7481650341084807,0.09845684362362965,0.9997218336504108,0.9997218336504108,-4.3721790950919335,"D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=D2hgdh PE=1 SV=3",0,59.18,12,4,30,4,535,58.5,7.37,protein metabolism;other metabolic processes;other biological processes,mitochondrion,other molecular function,98314,ENSMUSG00000073609,D2hgdh,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,NA
Q91VC7,-0.7461624808354195,-1.6773252638709102,20.84143085558461,-2.7714482334698594,0.01257694548694303,0.9997218336504108,0.9997218336504108,-3.8692839151775296,Protein phosphatase 1 regulatory subunit 14A OS=Mus musculus OX=10090 GN=Ppp1r14a PE=1 SV=1,0,19.559,20,2,8,2,147,16.6,7.34,other biological processes,other cell component,enzyme regulator activity,68458,ENSMUSG00000037166,Ppp1r14a,RHO GTPases activate PKNs,NA
E9QKI5,-0.7432082660924486,-1.6738941096975226,22.805336245685204,-2.4967456642539996,0.024652560703813206,0.9997218336504108,0.9997218336504108,-4.173962028722505,Proline-rich AKT1 substrate 1 OS=Mus musculus OX=10090 GN=Akt1s1 PE=1 SV=1,0.043,1.306,9,1,4,1,283,30.1,4.68,cell organization and biogenesis;signal transduction;other biological processes,cytosol;nucleus;other cell component,NA,67605,ENSMUSG00000011096,Akt1s1,NA,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway
E9Q6H8,0.7188330817844246,1.6458502564925015,19.70723648486241,1.8526530548437155,0.08511031749980902,0.9997218336504108,0.9997218336504108,-4.459882072921313,"Pleckstrin homology domain-containing, family A member 5 OS=Mus musculus OX=10090 GN=Plekha5 PE=1 SV=1",0,35.061,4,4,9,4,1269,144.3,7.39,developmental processes,cytosol;nucleus;other cell component,other molecular function,109135,ENSMUSG00000030231,Plekha5,Synthesis of PIPs at the plasma membrane,NA
Q80YX1,-0.7133054579814271,-1.6395563174238128,19.11524767433077,-2.923959042097397,0.009058891631436371,0.9997218336504108,0.9997218336504108,-3.795984052515763,Tenascin OS=Mus musculus OX=10090 GN=Tnc PE=1 SV=1,0,8.675,1,3,4,3,2110,231.7,4.89,cell adhesion;cell-cell signaling;cell organization and biogenesis;stress response;developmental processes;other biological processes,non-structural extracellular;extracellular matrix,other molecular function,21923,ENSMUSG00000028364,Tnc,ECM proteoglycans; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Integrin cell surface interactions,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Focal Adhesion
P40124,-0.7096739546919402,-1.6354344714321118,26.572739290841515,-3.6405926084480007,0.0018686432052669464,0.9997218336504108,0.9997218336504108,-3.4627191172593346,Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4,0,275.894,49,17,229,15,474,51.5,7.52,cell organization and biogenesis;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,12331,ENSMUSG00000028656,Cap1,Neutrophil degranulation,Insulin Signaling
Q99K48,-0.7007823282372456,-1.6253859495617298,17.96094212364324,-2.0704963043739752,0.05493076540646371,0.9997218336504108,0.9997218336504108,-4.249521644830978,Non-POU domain-containing octamer-binding protein OS=Mus musculus OX=10090 GN=Nono PE=1 SV=3,0,32.428,16,5,12,4,473,54.5,8.95,DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes,nucleus,nucleic acid binding activity;other molecular function,53610,ENSMUSG00000031311,Nono,NA,mRNA processing
Q9D173,0.6884685085239841,1.611571847612673,15.247716675940058,2.1016771429801775,0.054147742869822366,0.9997218336504108,0.9997218336504108,-4.305243527236039,Mitochondrial import receptor subunit TOM7 homolog OS=Mus musculus OX=10090 GN=Tomm7 PE=3 SV=1,0.001,5.134,31,1,11,1,55,6.2,10.17,cell organization and biogenesis;stress response;transport;other biological processes,other membranes;mitochondrion,NA,66169,ENSMUSG00000028998,Tomm7,PINK1-PRKN Mediated Mitophagy,NA
Q9CPU0,0.6795647562039697,1.6016564817272112,24.73645247733008,3.2699579521014557,0.004251108880877385,0.9997218336504108,0.9997218336504108,-3.6320782014442212,Lactoylglutathione lyase OS=Mus musculus OX=10090 GN=Glo1 PE=1 SV=3,0,127.529,61,11,127,11,184,20.8,5.47,other metabolic processes;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;nucleus,other molecular function,109801,ENSMUSG00000024026,Glo1,Pyruvate metabolism,NA
A0A0R4J0A6,0.6740210706314826,1.5955137820045542,23.338022323086758,2.845376906989633,0.010732818728933082,0.9997218336504108,0.9997218336504108,-3.8337046159684203,Vesicular glutamate transporter 2 OS=Mus musculus OX=10090 GN=Slc17a6 PE=1 SV=1,0,98.192,15,9,90,8,582,64.5,6.83,transport,other membranes;other cell component,transporter activity,140919,ENSMUSG00000030500,Slc17a6,NA,NA
A0A087WQS2,-0.6575281791380121,-1.5773777296770726,19.366591151734468,-1.7857148093783153,0.09309579779601003,0.9997218336504108,0.9997218336504108,-4.3352420107429115,Basic leucine zipper and W2 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Bzw1 PE=1 SV=1,0,6.319,5,3,15,3,451,51.2,6.95,NA,NA,NA,66882,ENSMUSG00000051223,Bzw1,NA,NA
Q0GA42,-0.6377710353367121,-1.5559233988078358,18.91881837582331,-1.4466833728650537,0.16854205902513678,0.9997218336504108,0.9997218336504108,-4.505297911669043,Metal transporter CNNM1 OS=Mus musculus OX=10090 GN=Cnnm1 PE=1 SV=5,0,20.627,4,3,9,2,951,103.9,6.51,transport,plasma membrane;other membranes;other cell component,transporter activity,83674,ENSMUSG00000025189,Cnnm1,NA,NA
Q5HZI2,-0.6345395846023116,-1.5524422313004802,22.769259963996635,-1.5312620190785056,0.14307879763320958,0.9997218336504108,0.9997218336504108,-4.437268782779514,C2 calcium-dependent domain-containing protein 4C OS=Mus musculus OX=10090 GN=C2cd4c PE=1 SV=1,0,74.743,26,7,50,7,419,44.6,9.73,NA,cytosol,NA,237397,ENSMUSG00000045912,C2cd4c,NA,NA
Q8VEB6,-0.6296691761340547,-1.5472101626710324,24.193289593489254,-4.171618343774761,5.725005708426326e-4,0.9997218336504108,0.9997218336504108,-3.235700008591855,Zinc phosphodiesterase ELAC protein 1 OS=Mus musculus OX=10090 GN=Elac1 PE=2 SV=1,0.017,1.896,3,1,2,1,362,39.7,6.6,RNA metabolism OR transcription;other metabolic processes,cytosol;nucleus,other molecular function,114615,ENSMUSG00000036941,Elac1,NA,NA
Q5SRF8,0.6293084816144123,1.5468233862188954,18.08176794114751,3.391242282432003,0.004383788991566386,0.9997218336504108,0.9997218336504108,-3.9168028249949494,"Sprouty-related, EVH1 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Spred2 PE=1 SV=1",0.002,3.722,8,2,3,2,437,49.6,6.71,developmental processes;other biological processes,other membranes,NA,NA,ENSMUSG00000045671,Spred2,NA,NA
Q80UM7,-0.6280695742388893,-1.545495629315392,18.630713414417,-1.8575806820434264,0.08062483423730576,0.9997218336504108,0.9997218336504108,-4.330167849085702,Mannosyl-oligosaccharide glucosidase OS=Mus musculus OX=10090 GN=Mogs PE=1 SV=1,0,13.966,4,2,6,2,834,91.8,9,protein metabolism;other metabolic processes,other membranes;ER/Golgi,other molecular function,57377,ENSMUSG00000030036,Mogs,NA,NA
D6RFU9,-0.615024357875221,-1.5315838555138388,18.330963363660572,-1.4738114002646527,0.1626407992308414,0.9997218336504108,0.9997218336504108,-4.527684833925968,Synaptophysin-like protein OS=Mus musculus OX=10090 GN=Sypl PE=1 SV=1,0,9.3,15,1,6,1,79,8.9,9.29,NA,other membranes;ER/Golgi,NA,NA,ENSMUSG00000020570,Sypl,NA,NA
Q91UZ1,0.6074750308186907,1.5235903240283744,19.56134799564084,1.9868519399751008,0.06236579606172797,0.9997218336504108,0.9997218336504108,-4.2415040765853895,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase OS=Mus musculus OX=10090 GN=Plcb4 PE=1 SV=1",0,130.893,18,13,17,13,1175,134.4,6.9,other metabolic processes;signal transduction;other biological processes,ER/Golgi;nucleus;other cell component,other molecular function,18798,ENSMUSG00000039943,Plcb4,G alpha (q) signalling events; Synthesis of IP3 and IP4 in the cytosol; PLC beta mediated events,Splicing factor NOVA regulated synaptic proteins; Alzheimers Disease; Chemokine signaling pathway
Q8QZY2,-0.591144958626387,-1.506441822783796,19.287566844802114,-1.943814410229614,0.06970552551560073,0.9997218336504108,0.9997218336504108,-4.299306991416062,Glycerate kinase OS=Mus musculus OX=10090 GN=Glyctk PE=1 SV=1,0.001,4.515,7,2,7,2,523,55.3,6.67,protein metabolism;other metabolic processes,cytosol;ER/Golgi;other cell component,kinase activity;other molecular function,235582,NA,Glyctk,Fructose catabolism,NA
Q99J39,0.5853057984459333,1.5003569762456415,20.974446280950232,1.6190400611858182,0.12382669184884171,0.9997218336504108,0.9997218336504108,-4.402872574535946,"Malonyl-CoA decarboxylase, mitochondrial OS=Mus musculus OX=10090 GN=Mlycd PE=1 SV=1",0,54.593,17,7,24,7,492,54.7,8.94,other metabolic processes;stress response;other biological processes,cytosol;mitochondrion;other cytoplasmic organelle;other cell component,other molecular function,56690,ENSMUSG00000074064,Mlycd,Peroxisomal protein import; Beta-oxidation of very long chain fatty acids,NA
D3YVC9,0.5667047419312645,1.4811366415769303,18.02966149309419,3.1542158461652323,0.005786278708171951,0.9997218336504108,0.9997218336504108,-3.7030712421409886,Graves disease carrier protein homolog (Fragment) OS=Mus musculus OX=10090 GN=Slc25a16 PE=1 SV=1,0,6.174,3,1,2,1,322,34.9,9.95,transport,other membranes;mitochondrion,NA,NA,ENSMUSG00000071253,Slc25a16,NA,NA
P61924,0.5523034489897114,1.4664251650145212,16.656584926554537,3.3336297579007166,0.0039305604776454115,0.9997218336504108,0.9997218336504108,-3.62201326302431,Coatomer subunit zeta-1 OS=Mus musculus OX=10090 GN=Copz1 PE=1 SV=1,0,26.716,19,2,7,2,177,20.2,4.81,transport,other membranes;ER/Golgi,NA,56447,ENSMUSG00000060992,Copz1,COPI-mediated anterograde transport; COPI-dependent Golgi-to-ER retrograde traffic,NA
P0C192,-0.5517137901071578,-1.4658259296145402,24.573062786804602,-3.3880868834712983,0.0032742771537123162,0.9997218336504108,0.9997218336504108,-3.577273156791395,Leucine-rich repeat-containing protein 4B OS=Mus musculus OX=10090 GN=Lrrc4b PE=1 SV=1,0,101.432,21,11,71,10,709,76.1,7.24,cell adhesion;cell organization and biogenesis;other biological processes,plasma membrane;other membranes;other cell component,signal transduction activity or receptor binding,272381,ENSMUSG00000047085,Lrrc4b,Receptor-type tyrosine-protein phosphatases,NA
A0A571BDM4,0.5515370036477307,1.465646319723145,19.705303444313966,2.821244856007477,0.012886559771324971,0.9997218336504108,0.9997218336504108,-3.8839181948426638,AP2-associated protein kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1,0,154.139,55,8,114,1,237,25.2,8.66,NA,NA,NA,NA,ENSMUSG00000057230,Aak1,NA,NA
Q8C3X4,-0.5499210497559766,-1.464005577308652,19.799656110881976,-1.5618010501118766,0.13573264037570235,0.9997218336504108,0.9997218336504108,-4.424999628357534,"Translation factor Guf1, mitochondrial OS=Mus musculus OX=10090 GN=Guf1 PE=1 SV=1",0,40.238,8,4,9,4,651,72.4,8.76,protein metabolism;other metabolic processes;other biological processes,other membranes;mitochondrion,translation activity;other molecular function,231279,ENSMUSG00000029208,Guf1,NA,NA
Q99MR3,-0.5490672546122823,-1.4631394267897917,19.19200294412376,-2.7134071096231684,0.014749140193593448,0.9997218336504108,0.9997218336504108,-3.9796629056055033,Solute carrier family 12 member 9 OS=Mus musculus OX=10090 GN=Slc12a9 PE=1 SV=2,0,11.039,3,3,6,3,914,96.3,7.02,cell organization and biogenesis;transport;other biological processes,plasma membrane;other membranes,transporter activity,83704,ENSMUSG00000037344,Slc12a9,NA,NA
Q9CPY1,-0.5469628448166617,-1.46100675127783,17.695763681372497,-2.3913243011896936,0.030322579485652416,0.9997218336504108,0.9997218336504108,-4.127871581931589,"39S ribosomal protein L51, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl51 PE=1 SV=1",0,10.033,13,1,4,1,128,15.1,11,protein metabolism;other metabolic processes,mitochondrion;translational apparatus,other molecular function,66493,ENSMUSG00000030335,Mrpl51,Mitochondrial translation elongation; Mitochondrial translation termination,NA
O70340,-0.5408243638636634,-1.4548035626052025,20.9617624721576,-2.6214381268173343,0.01729420011154488,0.9997218336504108,0.9997218336504108,-3.941598671115818,Neuronal pentraxin-2 OS=Mus musculus OX=10090 GN=Nptx2 PE=2 SV=1,0.002,3.294,5,2,9,2,429,47.1,5.81,other biological processes,non-structural extracellular;other cell component,other molecular function,53324,ENSMUSG00000059991,Nptx2,NA,NA
Q61656,-0.5376035262054941,-1.4515593152583883,19.34275403076817,-1.7299981665929158,0.10072787392111796,0.9997218336504108,0.9997218336504108,-4.355001038159527,Probable ATP-dependent RNA helicase DDX5 OS=Mus musculus OX=10090 GN=Ddx5 PE=1 SV=2,0,49.999,19,9,10,8,614,69.2,8.92,RNA metabolism OR transcription;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,nucleus;other cell component,signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function,NA,NA,Ddx5,SUMOylation of transcription cofactors; mRNA Splicing - Major Pathway; Estrogen-dependent gene expression,NA
Q9DAM5,0.5279563174516326,1.4418852127712305,19.327918412470346,2.1998640348770335,0.041110145877658016,0.9997218336504108,0.9997218336504108,-4.142954731345206,Mitochondrial thiamine pyrophosphate carrier OS=Mus musculus OX=10090 GN=Slc25a19 PE=1 SV=1,0,21.739,8,2,7,2,318,35.6,9.2,transport,other membranes;mitochondrion,transporter activity,67283,ENSMUSG00000020744,Slc25a19,Vitamin B1 (thiamin) metabolism,NA
Q8R081,0.5229871464285374,1.4369273743021163,19.62895482173478,0.9537249737971896,0.35439969407630756,0.9997218336504108,0.9997218336504108,-4.619239935474776,Heterogeneous nuclear ribonucleoprotein L OS=Mus musculus OX=10090 GN=Hnrnpl PE=1 SV=2,0,73.118,16,6,17,6,586,63.9,8.1,RNA metabolism OR transcription;other metabolic processes;stress response;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity,15388,ENSMUSG00000015165,Hnrnpl,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA,mRNA processing
F8VQC9,0.5217007795070288,1.4356467210987836,16.695908229296933,2.1356546750578285,0.046690715772562515,0.9997218336504108,0.9997218336504108,-4.17298898335333,Anion exchange protein OS=Mus musculus OX=10090 GN=Slc4a7 PE=1 SV=1,0,53.562,7,7,29,2,1131,127.1,6.44,transport,plasma membrane;other membranes;other cell component,transporter activity,218756,ENSMUSG00000021733,Slc4a7,NA,NA
D3Z3S1,0.5118940125462714,1.4259209583687789,19.58680797112145,2.2488712777455473,0.03727035036397544,0.9997218336504108,0.9997218336504108,-4.11987446784044,Prolactin regulatory element-binding protein OS=Mus musculus OX=10090 GN=Preb PE=1 SV=1,0,20.097,12,3,8,3,350,37.9,8.56,NA,NA,NA,50907,ENSMUSG00000045302,Preb,NA,NA
Q00977,0.5115328195865629,1.4255640096510689,17.22611400115168,3.382650016869884,0.004097089875142264,0.9997218336504108,0.9997218336504108,-3.89976097097208,Gap junction beta-2 protein OS=Mus musculus OX=10090 GN=Gjb2 PE=1 SV=1,0,15.182,7,1,1,1,226,26.4,9.01,cell-cell signaling;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;other cell component,transporter activity;other molecular function,14619,ENSMUSG00000046352,Gjb2,Transport of connexons to the plasma membrane,Calcium Regulation in the Cardiac Cell
Q8K310,0.5111088983582093,1.4251451837384557,19.317523622670677,0.8286642832389401,0.4202745867986585,0.9997218336504108,0.9997218336504108,-4.638563207652568,Matrin-3 OS=Mus musculus OX=10090 GN=Matr3 PE=1 SV=1,0,78.552,14,11,23,11,846,94.6,6.25,stress response;developmental processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,17184,ENSMUSG00000037236,Matr3,NA,mRNA processing
E9QP54,0.5094311114305263,1.4234887698273635,18.96354292483301,2.191478324151244,0.04580989286551669,0.9997218336504108,0.9997218336504108,-4.247822506936411,Jouberin OS=Mus musculus OX=10090 GN=Ahi1 PE=1 SV=1,0,19.476,6,5,5,5,1047,119.6,7.2,NA,cytoskeleton;other cell component,other molecular function,52906,ENSMUSG00000019986,Ahi1,NA,NA
Q5FWJ7,-0.5021978427251312,-1.4163696575138536,21.95703829495015,-1.9899213733061976,0.06199959461493094,0.9997218336504108,0.9997218336504108,-4.240108367730872,Vesicle transport through interaction with t-SNAREs homolog 1A OS=Mus musculus OX=10090 GN=Vti1a PE=1 SV=1,0,44.228,31,6,36,6,224,25.9,6.4,cell organization and biogenesis;transport,other membranes;ER/Golgi,other molecular function,53611,ENSMUSG00000024983,Vti1a,NA,NA
A6H630,-0.4967535845839244,-1.4110348150437935,19.741389452526786,-2.12487374153274,0.04854823617498746,0.9997218336504108,0.9997218336504108,-4.182259946940496,Damage-control phosphatase ARMT1 OS=Mus musculus OX=10090 GN=Armt1 PE=1 SV=1,0.002,3.508,7,2,2,2,439,50.5,5.92,protein metabolism;other metabolic processes;stress response;other biological processes,NA,other molecular function,73419,ENSMUSG00000061759,Armt1,NA,NA
Q8K1C0,-0.4963777837635881,-1.4106673091132425,20.20474835596663,-2.2692862035653163,0.035770656661375674,0.9997218336504108,0.9997218336504108,-4.110224094348567,Protein angel homolog 2 OS=Mus musculus OX=10090 GN=Angel2 PE=1 SV=1,0,24.187,10,3,20,3,544,62.4,8.21,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,52477,ENSMUSG00000026634,Angel2,NA,NA
P01897,0.4962932953881882,1.4105846987930022,17.509053837304624,1.7621353487273719,0.09600313617796495,0.9997218336504108,0.9997218336504108,-4.343094648975331,"H-2 class I histocompatibility antigen, L-D alpha chain OS=Mus musculus OX=10090 GN=H2-L PE=1 SV=2",0,29.59,12,4,4,4,362,40.7,6.25,stress response;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi,NA,NA,NA,H2-L,NA,NA
E0CYK1,-0.48985454971560927,-1.4043032889135452,20.921285199147007,-1.6368228649319536,0.11901936297133162,0.9997218336504108,0.9997218336504108,-4.39426507216423,Synaptopodin (Fragment) OS=Mus musculus OX=10090 GN=Synpo PE=1 SV=1,0,15.2,80,1,4,1,15,1.8,4.45,NA,NA,NA,NA,ENSMUSG00000043079,Synpo,NA,Primary Focal Segmental Glomerulosclerosis FSGS
Q69ZS6,-0.4854034486393104,-1.3999773135158942,23.150461218957574,-1.8991407298525793,0.07368231811550308,0.9997218336504108,0.9997218336504108,-4.281028249190829,Synaptic vesicle glycoprotein 2C OS=Mus musculus OX=10090 GN=Sv2c PE=1 SV=2,0,46.363,8,6,68,5,727,82.2,5.11,cell-cell signaling;transport,other membranes;ER/Golgi;other cell component,transporter activity,75209,ENSMUSG00000051111,Sv2c,NA,NA
Q9WTS5,-0.48059652649982354,-1.3953204851276526,19.75757177302231,-1.764123817364797,0.09466352905446321,0.9997218336504108,0.9997218336504108,-4.340341108987442,Teneurin-2 OS=Mus musculus OX=10090 GN=Tenm2 PE=1 SV=1,0,23.834,2,6,15,5,2764,306.3,6.68,cell adhesion;cell-cell signaling;cell organization and biogenesis;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,NA,NA,Tenm2,NA,NA
O55042,-0.4801520213092445,-1.3948906426161964,29.117859668729903,-2.581125564853171,0.018824323728938618,0.9997218336504108,0.9997218336504108,-3.9610262314834133,Alpha-synuclein OS=Mus musculus OX=10090 GN=Snca PE=1 SV=2,0,204.779,82,9,279,6,140,14.5,4.77,cell-cell signaling;cell organization and biogenesis;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;mitochondrion;ER/Golgi;translational apparatus;nucleus;other cell component,enzyme regulator activity;cytoskeletal activity;other molecular function,20617,ENSMUSG00000025889,Snca,NA,Alzheimers Disease; Parkinsons Disease Pathway; EGFR1 Signaling Pathway
Q9QZQ8,0.4801302498617872,1.3948695927350159,19.252676080542653,1.0025208642065582,0.33100224765628716,0.9997218336504108,0.9997218336504108,-4.608905883960816,Core histone macro-H2A.1 OS=Mus musculus OX=10090 GN=Macroh2a1 PE=1 SV=3,0,28.257,15,5,11,5,372,39.7,9.8,cell organization and biogenesis;other biological processes,cytoskeleton;nucleus;other cell component,enzyme regulator activity;nucleic acid binding activity;other molecular function,26914,ENSMUSG00000015937,Macroh2a1,NA,NA
Q8BGX3,-0.47627790584771645,-1.3911499226308923,18.092588793840672,-2.1626289452609138,0.04426693804050158,0.9997218336504108,0.9997218336504108,-4.160401992579417,Leucine-rich repeat and transmembrane domain-containing protein 2 OS=Mus musculus OX=10090 GN=Lrtm2 PE=2 SV=1,0,14.537,6,2,3,2,370,41,6.4,cell organization and biogenesis;developmental processes;other biological processes,other membranes,signal transduction activity or receptor binding;other molecular function,211187,ENSMUSG00000055003,Lrtm2,NA,NA
