Accession,log2_foldchange,foldchange,AveExpr,t,p_value,adj_p_value,q_value,B,description,exp_q-value_combined,sum_pep_score,coverage_percent,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9DAK9,-1.749351234342793,-3.3620734299323733,21.642689679383086,-7.402762558372937,7.234873604695701e-7,3.2054570031657844e-5,1.1589404729196487e-5,6.129493688494007,14 kDa phosphohistidine phosphatase OS=Mus musculus OX=10090 GN=Phpt1 PE=1 SV=1,0,72.698,56,5,29,5,124,14,5.53,protein metabolism;other metabolic processes;other biological processes,cytosol,other molecular function,75454,ENSMUSG00000036504,Phpt1,NA,NA
Q8VCT3,-1.7414309997642334,-3.343666594420151,21.415292756193548,-7.1490823552727525,1.164928943189526e-6,4.151528100981161e-5,1.5009946899735333e-5,5.65725446942737,Aminopeptidase B OS=Mus musculus OX=10090 GN=Rnpep PE=1 SV=2,0,71.183,16,8,39,8,650,72.4,5.35,protein metabolism;other metabolic processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component,other molecular function,215615,ENSMUSG00000041926,Rnpep,NA,mRNA processing
P17183,-1.7271797141037766,-3.3107996593924005,27.42013843227061,-8.047564428739085,2.241091768696632e-7,1.5649603588022105e-5,5.658150761465489e-6,7.288458420996946,Gamma-enolase OS=Mus musculus OX=10090 GN=Eno2 PE=1 SV=2,0,628.673,66,21,523,18,434,47.3,5.11,other metabolic processes;other biological processes,plasma membrane;other membranes;cytosol;other cell component,other molecular function,13807,ENSMUSG00000004267,Eno2,Gluconeogenesis; Glycolysis,Glycolysis and Gluconeogenesis
P54728,-1.7260068835805704,-3.3081092578311213,22.330594641266302,-8.063392349601786,2.179041830926091e-7,1.5649603588022105e-5,5.658150761465489e-6,7.316166025940076,UV excision repair protein RAD23 homolog B OS=Mus musculus OX=10090 GN=Rad23b PE=1 SV=2,0,66.377,23,9,43,9,416,43.5,4.83,cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;developmental processes;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,19359,ENSMUSG00000028426,Rad23b,DNA Damage Recognition in GG-NER; Formation of Incision Complex in GG-NER; N-glycan trimming in the ER and Calnexin/Calreticulin cycle; Josephin domain DUBs,NA
Q9D358,-1.7193856280950754,-3.2929614622964416,21.522991556031606,-8.626426711471119,8.195850702123297e-8,9.7878326112327e-6,3.538813761693657e-6,8.279072365668597,Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3,0,30.986,24,3,18,3,158,18.2,6.74,protein metabolism;other metabolic processes,plasma membrane;other membranes;cytosol;other cell component,other molecular function,11431,ENSMUSG00000044573,Acp1,NA,NA
O70250,-1.7102469221419199,-3.2721682289808123,20.418728502331053,-7.459375827536595,9.294064227397834e-7,3.553117039429586e-5,1.284637771758754e-5,5.940970460303257,Phosphoglycerate mutase 2 OS=Mus musculus OX=10090 GN=Pgam2 PE=1 SV=3,0,106.14,34,8,88,4,253,28.8,8.5,other metabolic processes;signal transduction;other biological processes,cytosol;nucleus,other molecular function,56012,ENSMUSG00000020475,Pgam2,Gluconeogenesis; Glycolysis,Glycolysis and Gluconeogenesis
P36916,-1.7004894785960225,-3.25011209872008,21.69800369288375,-6.4777909044114566,4.285479872056218e-6,9.800983880487726e-5,3.543568633836649e-5,4.363419738637383,Guanine nucleotide-binding protein-like 1 OS=Mus musculus OX=10090 GN=Gnl1 PE=1 SV=4,0,73.043,15,8,31,8,607,68.7,5.68,stress response,NA,other molecular function,14670,ENSMUSG00000024429,Gnl1,NA,NA
Q8BHE3,-1.6817441247798328,-3.208155619074878,22.444818313515242,-11.28959431320122,1.3287003572514977e-9,1.7427022255756963e-6,6.300780635872296e-7,12.278662364274112,Caytaxin OS=Mus musculus OX=10090 GN=Atcay PE=1 SV=1,0,127.532,42,13,85,13,372,42.2,4.68,cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,other membranes;mitochondrion;other cell component,cytoskeletal activity;other molecular function,16467,ENSMUSG00000034958,Atcay,NA,NA
P17182,-1.6673798418713837,-3.1763719089215825,29.17943072194528,-9.92228582187404,1.0002186843674224e-8,2.815615596494294e-6,1.0179924010018826e-6,10.3339718760123,Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3,0,558.337,69,27,666,24,434,47.1,6.8,other metabolic processes;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;other cell component,nucleic acid binding activity;other molecular function,13806; 433182,ENSMUSG00000059040; ENSMUSG00000063524,Eno1,Gluconeogenesis; Glycolysis,Glycolysis and Gluconeogenesis
A0A0U1RNF2,-1.6451629127700365,-3.1278317552394017,20.638455416730437,-11.205872914227372,5.4653803213619485e-9,2.3932293162763825e-6,8.652776539729702e-7,10.928144802215815,Leucine carboxyl methyltransferase 1 OS=Mus musculus OX=10090 GN=Lcmt1 PE=1 SV=1,0,13.591,8,3,10,3,332,38.1,5.74,protein metabolism;other metabolic processes;other biological processes,cytosol,other molecular function,NA,ENSMUSG00000030763,Lcmt1,Cyclin A/B1/B2 associated events during G2/M transition,NA
Q9R0P9,-1.6374430397789723,-3.111139402163839,26.38528073894555,-8.101993015294076,2.0351030263304348e-7,1.5649603588022105e-5,5.658150761465489e-6,7.383590798246548,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus OX=10090 GN=Uchl1 PE=1 SV=1,0,196.137,55,9,133,9,223,24.8,5.24,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes,other membranes;cytosol;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,22223,ENSMUSG00000029223,Uchl1,UCH proteinases,Parkinsons Disease Pathway; Proteasome Degradation
P12658,-1.6211846107450398,-3.076275284977693,22.837946739639705,-11.283562846288913,1.3400319241571372e-9,1.7427022255756963e-6,6.300780635872296e-7,12.270548139193384,Calbindin OS=Mus musculus OX=10090 GN=Calb1 PE=1 SV=2,0,149.018,46,11,77,10,261,30,4.83,developmental processes;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,other molecular function,12307,ENSMUSG00000028222,Calb1,NA,Vitamin D Receptor Pathway
Q01065,-1.6035872095653687,-3.03898006166526,24.005065428266764,-10.085741659642968,7.777042322049021e-9,2.545594764831289e-6,9.203657380840474e-7,10.578007396956618,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B OS=Mus musculus OX=10090 GN=Pde1b PE=1 SV=2",0,196.427,30,14,126,13,535,61.2,5.72,other metabolic processes;developmental processes;signal transduction;other biological processes,other cell component,other molecular function,18574,ENSMUSG00000022489,Pde1b,G alpha (s) signalling events; cGMP effects; Cam-PDE 1 activation,Purine metabolism; G Protein Signaling Pathways
O08759,-1.6006987424284524,-3.032901706714451,22.390960384328906,-6.878293649808989,3.696762968571594e-6,8.829662338873123e-5,3.192385059798969e-5,4.618839453959586,Ubiquitin-protein ligase E3A OS=Mus musculus OX=10090 GN=Ube3a PE=1 SV=2,0,51.797,10,7,14,7,870,99.8,5.08,protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,cytosol;nucleus;other cell component,other molecular function,22215,ENSMUSG00000025326,Ube3a,Antigen processing: Ubiquitination & Proteasome degradation,Tryptophan metabolism
P17751,-1.591828716110026,-3.0143119238530236,27.932006994772664,-8.697154429490501,7.269064521747582e-8,9.29425230174573e-6,3.3603586469516074e-6,8.39694501259721,Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=5,0,276.305,68,13,329,13,249,26.7,7.3,other metabolic processes;developmental processes,cytosol,other molecular function,21991,ENSMUSG00000023456,Tpi1,Gluconeogenesis; Glycolysis,Fatty Acid Beta Oxidation; Glycolysis and Gluconeogenesis
Q924M7,-1.5906129369755462,-3.0117727913897605,20.832701529771498,-6.156551681010135,8.166576154710012e-6,1.5623532342578717e-4,5.6487246417284536e-5,3.7220867793997154,Mannose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Mpi PE=1 SV=1,0,42.362,14,4,34,4,423,46.5,5.95,protein metabolism;other metabolic processes,cytosol,other molecular function,110119,ENSMUSG00000032306,Mpi,Synthesis of GDP-mannose,NA
Q9R0P3,-1.5895673657128242,-3.0095908456814437,21.58567491986105,-7.694232478638304,4.2304802709135294e-7,2.2530165875230028e-5,8.145834141156552e-6,6.660711312116723,S-formylglutathione hydrolase OS=Mus musculus OX=10090 GN=Esd PE=1 SV=1,0,104.47,31,5,42,5,282,31.3,7.12,other metabolic processes,cytosol;other cell component,other molecular function,13885,ENSMUSG00000021996,Esd,Glutathione conjugation,NA
O35621,-1.589370819253407,-3.009180860121967,20.768882190117132,-7.7212262211484335,8.714453609485167e-7,3.367025654409907e-5,1.2173559964774196e-5,6.043096023181674,Phosphomannomutase 1 OS=Mus musculus OX=10090 GN=Pmm1 PE=1 SV=1,0,43.888,29,6,16,4,262,29.8,5.47,protein metabolism;other metabolic processes;transport;other biological processes,cytosol;other cell component,other molecular function,29858,ENSMUSG00000022474,Pmm1,Synthesis of GDP-mannose,NA
P63046,-1.58510995383811,-3.0003066358066963,21.215080983924807,-7.823288848696843,4.916405946855638e-7,2.3718632167108854e-5,8.575526907273457e-6,6.566397005076135,Sulfotransferase 4A1 OS=Mus musculus OX=10090 GN=Sult4a1 PE=1 SV=1,0,77.134,37,8,45,8,284,33,5.53,other metabolic processes,other cell component,other molecular function,29859,ENSMUSG00000018865,Sult4a1,Cytosolic sulfonation of small molecules,Metapathway biotransformation
D3YWK1,-1.5830308290509656,-2.995985889595793,19.931720762187418,-10.932227882714782,2.2109898827400357e-9,1.7427022255756963e-6,6.300780635872296e-7,11.791023834746117,WD repeat domain phosphoinositide-interacting protein 2 OS=Mus musculus OX=10090 GN=Wipi2 PE=1 SV=1,0,43.205,24,5,22,5,425,46.4,5.85,cell organization and biogenesis;other metabolic processes,other membranes,other molecular function,NA,ENSMUSG00000029578,Wipi2,NA,NA
O55091,-1.582502013162781,-2.9948879204721695,21.284717246728217,-7.273605191549706,1.2951958187869175e-6,4.4385797581210796e-5,1.6047788876556575e-5,5.5908167679500345,Protein IMPACT OS=Mus musculus OX=10090 GN=Impact PE=1 SV=2,0,55.463,34,7,22,7,318,36.3,5.05,cell organization and biogenesis;stress response;developmental processes;other biological processes,other cell component,enzyme regulator activity;cytoskeletal activity;translation activity;other molecular function,16210,ENSMUSG00000024423,Impact,NA,NA
P06151,-1.5782681597670702,-2.9861117561066135,26.437032692724397,-9.57667276697784,1.7195229767025335e-8,3.9862588536380496e-6,1.4412412072452566e-6,9.807093594442087,L-lactate dehydrogenase A chain OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=3,0,295.074,47,19,227,18,332,36.5,7.74,other metabolic processes;other biological processes,cytosol;cytoskeleton,other molecular function,16828,ENSMUSG00000063229,Ldha,Pyruvate metabolism,Glycolysis and Gluconeogenesis
P58321,-1.5768190495584413,-2.9831138719998296,21.306272501497215,-7.71290121741131,2.0783834476328353e-6,5.978765815416791e-5,2.161636757177429e-5,5.284409032292276,Ubiquitin carboxyl-terminal hydrolase isozyme L4 OS=Mus musculus OX=10090 GN=Uchl4 PE=2 SV=1,0,74.712,27,4,29,4,233,26.4,5.1,protein metabolism;other metabolic processes,other cell component,other molecular function,93841,ENSMUSG00000035337,Uchl4,NA,Proteasome Degradation
B2RQR5,-1.5732423011206826,-2.9757272573033067,21.34930335331767,-8.089030676935774,4.776285701917991e-7,2.3718632167108854e-5,8.575526907273457e-6,6.632675824900501,Small G protein signaling modulator 1 OS=Mus musculus OX=10090 GN=Sgsm1 PE=1 SV=1,0,92.514,11,7,32,7,1093,123.2,5.66,other biological processes,other membranes;cytosol,enzyme regulator activity;other molecular function,52850,ENSMUSG00000042216,Sgsm1,NA,NA
A0A0U1RNT6,-1.5726387547170049,-2.974482632616166,19.739969497756263,-9.589977507658526,1.6836072443653136e-8,3.9862588536380496e-6,1.4412412072452566e-6,9.8276538983202,S-adenosylmethionine synthase OS=Mus musculus OX=10090 GN=Mat2a PE=1 SV=1,0,22.432,7,2,8,2,362,39.7,6.04,other metabolic processes,NA,other molecular function,NA,ENSMUSG00000053907,Mat2a,NA,Methylation
O88533,-1.5684330943927556,-2.9658242209464536,22.914080151422482,-9.855737549590375,1.1090542955883445e-8,2.9138553192757774e-6,1.0535112024293927e-6,10.233677664731921,Aromatic-L-amino-acid decarboxylase OS=Mus musculus OX=10090 GN=Ddc PE=1 SV=1,0,189.284,33,12,102,12,480,53.8,6.6,other metabolic processes;transport;developmental processes;other biological processes,ER/Golgi;other cell component,other molecular function,13195,ENSMUSG00000020182,Ddc,Serotonin and melatonin biosynthesis; Catecholamine biosynthesis,SIDS Susceptibility Pathways; Dopaminergic Neurogenesis; Parkinsons Disease Pathway; Biogenic Amine Synthesis; Tryptophan metabolism
P14152,-1.5654246517012602,-2.959646050658462,27.71133187241146,-7.392206513330208,7.378427595955487e-7,3.2054570031657844e-5,1.1589404729196487e-5,6.1100267991032595,"Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3",0,245.079,41,14,312,14,334,36.5,6.58,other metabolic processes,cytosol,other molecular function,17449,ENSMUSG00000020321,Mdh1,Gluconeogenesis,Glycolysis and Gluconeogenesis; TCA Cycle
P61087,-1.5538584457504854,-2.9360131824022373,20.8392429600011,-5.239644328675743,5.530941937130259e-5,6.429923945200694e-4,2.324754033677131e-4,1.8196350658699192,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus OX=10090 GN=Ube2k PE=1 SV=3,0,32.484,29,5,20,5,200,22.4,5.44,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes,nucleus;other cell component,other molecular function,53323,ENSMUSG00000029203,Ube2k,Antigen processing: Ubiquitination & Proteasome degradation; Synthesis of active ubiquitin: roles of E1 and E2 enzymes,NA
Q61481,-1.5509769761596246,-2.930154986769695,21.91967257645026,-6.337653191179893,5.668009296330171e-6,1.2009475611202799e-4,4.342053981887248e-5,4.08536648374524,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A OS=Mus musculus OX=10090 GN=Pde1a PE=1 SV=3",0,116.334,29,13,56,12,545,62.3,5.91,other metabolic processes;signal transduction;other biological processes,nucleus;other cell component,other molecular function,18573,ENSMUSG00000059173,Pde1a,G alpha (s) signalling events; cGMP effects; Cam-PDE 1 activation,Purine metabolism; G Protein Signaling Pathways
Q8BIW1,-1.541576011820613,-2.911123433234361,20.346172370095935,-6.301846608892948,6.090321984133368e-6,1.2501020280973753e-4,4.519773106331238e-5,4.0138909125020135,Exopolyphosphatase PRUNE1 OS=Mus musculus OX=10090 GN=Prune1 PE=1 SV=1,0,96.397,24,7,35,7,454,50.2,5.11,other metabolic processes;developmental processes;other biological processes,cytosol;nucleus;other cell component,cytoskeletal activity;other molecular function,229589,ENSMUSG00000015711,Prune1,NA,Purine metabolism
G5E884,-1.5388842348848435,-2.9056969300900795,24.640486802537033,-7.359692481446933,7.839478785482517e-7,3.235440199989384e-5,1.1697809678232042e-5,6.049965910989451,Non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Pak1 PE=1 SV=1,0,254.056,51,19,193,12,544,60.6,5.86,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,kinase activity;other molecular function,18479,ENSMUSG00000030774,Pak1,NA,Signaling of Hepatocyte Growth Factor Receptor; Chemokine signaling pathway; IL-3 Signaling Pathway; Alpha6-Beta4 Integrin Signaling Pathway; MAPK signaling pathway; Regulation of Actin Cytoskeleton; FAS pathway and Stress induction of HSP regulation; EGFR1 Signaling Pathway; Integrin-mediated Cell Adhesion; Focal Adhesion
A0A494B952,-1.5365645517063449,-2.9010286667338536,19.867990492396487,-6.18582488079506,1.3021777010984294e-5,2.2120182413917718e-4,7.997603662297141e-5,3.419300142545115,Isochorismatase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Isoc1 PE=1 SV=1,0,28.699,25,5,11,5,257,27.5,7.02,NA,NA,NA,NA,ENSMUSG00000024601,Isoc1,NA,NA
Q8CAA7,-1.5332026519262563,-2.8942762952663834,23.24166825862401,-5.958297474965362,1.2240966341772367e-5,2.1251827468248853e-4,7.68364790172956e-5,3.319421506249814,"Glucose 1,6-bisphosphate synthase OS=Mus musculus OX=10090 GN=Pgm2l1 PE=1 SV=1",0,91.509,27,15,78,15,621,70.2,6.49,other metabolic processes,NA,kinase activity;other molecular function,70974,ENSMUSG00000030729,Pgm2l1,Glycolysis; Glycogen breakdown (glycogenolysis); Galactose catabolism; Glycogen synthesis,NA
Q9CX34,-1.5238986115798063,-2.8756709647834113,21.599208948623744,-10.056684789165466,8.131076242303826e-9,2.545594764831289e-6,9.203657380840474e-7,10.534864412601447,Protein SGT1 homolog OS=Mus musculus OX=10090 GN=Sugt1 PE=1 SV=3,0,68.318,34,9,18,9,336,38.1,5.45,other biological processes,nucleus;other cell component,NA,67955,ENSMUSG00000022024,Sugt1,The NLRP3 inflammasome,NA
Q7TQI3,-1.5131818429595612,-2.8543887671542136,24.0173702464184,-8.794120872464317,6.17258466173441e-8,8.921410687024471e-6,3.2255568895540102e-6,8.55744348345351,Ubiquitin thioesterase OTUB1 OS=Mus musculus OX=10090 GN=Otub1 PE=1 SV=2,0,128.805,38,8,89,8,271,31.3,4.94,protein metabolism;DNA metabolism;other metabolic processes;stress response;other biological processes,nucleus;other cell component,other molecular function,107260,ENSMUSG00000024767,Otub1,Ub-specific processing proteases; Ovarian tumor domain proteases,NA
O08997,-1.4951430949976938,-2.8189210936278086,21.15256169945349,-5.208423265791057,5.9134956607600384e-5,6.794485830628371e-4,2.456562235593037e-4,1.7531948611778034,Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1,0,15.556,32,2,13,2,68,7.3,6.51,stress response;transport;other biological processes,cytosol,other molecular function,11927,ENSMUSG00000018585,Atox1,Ion influx/efflux at host-pathogen interface,NA
Q9EQK5,-1.4882171253242902,-2.8054206847845555,23.567740432960157,-8.264019657368614,1.530812773021469e-7,1.420711564585974e-5,5.1366158738599235e-6,7.664329066359262,Major vault protein OS=Mus musculus OX=10090 GN=Mvp PE=1 SV=4,0,28.23,6,3,9,3,861,95.9,5.59,cell cycle OR cell proliferation;protein metabolism;other metabolic processes;signal transduction;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,other molecular function,78388,NA,Mvp,Neutrophil degranulation,NA
Q3TDX8,-1.4862751311279858,-2.8016468827260477,23.803461035245082,-8.26439776034854,1.5298019672594922e-7,1.420711564585974e-5,5.1366158738599235e-6,7.664979904320507,Cytochrome b5 reductase 4 OS=Mus musculus OX=10090 GN=Cyb5r4 PE=2 SV=3,0.016,1.95,1,1,2,1,528,59.7,6.35,cell-cell signaling;other metabolic processes;transport;other biological processes,ER/Golgi;other cell component,other molecular function,266690,ENSMUSG00000032872,Cyb5r4,Erythrocytes take up carbon dioxide and release oxygen,Oxidation by Cytochrome P450
Q9QZX7,-1.4862652545389174,-2.8016277029136303,20.878363561435663,-8.75750168532641,6.564854349751576e-8,8.921410687024471e-6,3.2255568895540102e-6,8.496980986952362,Serine racemase OS=Mus musculus OX=10090 GN=Srr PE=1 SV=1,0,99.884,39,8,54,8,339,36.3,6.02,other metabolic processes;developmental processes;other biological processes,plasma membrane;other membranes;other cell component,other molecular function,27364,ENSMUSG00000001323,Srr,Serine biosynthesis,NA
Q920E5,-1.4851417320454416,-2.7994467385981396,21.90147622196271,-6.570927093832036,3.5639328583514038e-6,8.670036663433878e-5,3.134672023685564e-5,4.546717306041234,Farnesyl pyrophosphate synthase OS=Mus musculus OX=10090 GN=Fdps PE=1 SV=1,0,75.357,22,8,42,8,353,40.6,5.66,other metabolic processes;other biological processes,cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component,other molecular function,110196,ENSMUSG00000059743,Fdps,Cholesterol biosynthesis,Cholesterol Biosynthesis; Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways)
P06745,-1.4826063798941043,-2.794531389051493,27.51475671797931,-9.16496786399947,3.337992106558753e-8,5.979557678158202e-6,2.1619230570027305e-6,9.159648391147233,Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4,0,624.55,56,26,612,26,558,62.7,8.13,other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,14751,ENSMUSG00000036427,Gpi,TP53 Regulates Metabolic Genes; Neutrophil degranulation; Gluconeogenesis; Glycolysis,Glycolysis and Gluconeogenesis
Q80TB8,-1.4733943582610607,-2.776744352697386,24.81496862669608,-4.783782381124958,1.482976715344939e-4,0.001316308836750992,4.7591453707407854e-4,0.8409586442402306,Synaptic vesicle membrane protein VAT-1 homolog-like OS=Mus musculus OX=10090 GN=Vat1l PE=1 SV=2,0,179.883,49,20,129,20,417,45.8,5.06,NA,NA,other molecular function,270097,ENSMUSG00000046844,Vat1l,NA,NA
Q9D1A2,-1.466399479633239,-2.763313946969002,25.108679049300317,-7.699988859382665,4.1863629137796404e-7,2.2530165875230028e-5,8.145834141156552e-6,6.671080431786553,Cytosolic non-specific dipeptidase OS=Mus musculus OX=10090 GN=Cndp2 PE=1 SV=1,0,158.759,34,13,93,13,475,52.7,5.66,protein metabolism;other metabolic processes,cytosol;nucleus,other molecular function,66054,ENSMUSG00000024644,Cndp2,Glutathione synthesis and recycling,NA
P00493,-1.465061133061731,-2.760751688984836,21.877305723082806,-5.79546300901505,1.7132837767597182e-5,2.706901668591333e-4,9.786866262270606e-5,2.9849317031428413,Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Hprt1 PE=1 SV=3,0,55.1,32,6,48,6,218,24.6,6.68,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,cytosol;other cell component,other molecular function,15452,ENSMUSG00000025630,Hprt1,Purine salvage,Purine metabolism; Nucleotide Metabolism
