"","Accession","log2_foldchange","foldchange","AveExpr","t","p_value","adj_p_value","q_value","B","description","exp_q.value_combined","sum_pep_score","coverage_percent","num_peptides","num_psms","num_unique_peptides","num_aas","mw_kda","calc_pi","biological_process","cellular_component","molecular_function","entrez_gene_id","ensembl_gene_id","gene_symbol","reactome_pathways","wikipathways"
"19","P17182",1.66737984187138,3.17637190892158,29.1794307219453,-9.92228582187404,1.00021868436742e-08,2.81561559649429e-06,1.01799240100188e-06,10.3339718760123,"Alpha-enolase OS=Mus musculus OX=10090 GN=Eno1 PE=1 SV=3",0,558.337,69,27,666,24,434,47.1,6.8,"other metabolic processes;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;other cell component","nucleic acid binding activity;other molecular function","13806; 433182","ENSMUSG00000059040; ENSMUSG00000063524","Eno1","Gluconeogenesis; Glycolysis","Glycolysis and Gluconeogenesis"
"20","A0A0U1RNF2",1.64516291277004,3.1278317552394,20.6384554167304,-11.2058729142274,5.46538032136195e-09,2.39322931627638e-06,8.6527765397297e-07,10.9281448022158,"Leucine carboxyl methyltransferase 1 OS=Mus musculus OX=10090 GN=Lcmt1 PE=1 SV=1",0,13.591,8,3,10,3,332,38.1,5.74,"protein metabolism;other metabolic processes;other biological processes","cytosol","other molecular function",NA,"ENSMUSG00000030763","Lcmt1","Cyclin A/B1/B2 associated events during G2/M transition",NA
"21","Q9R0P9",1.63744303977897,3.11113940216384,26.3852807389455,-8.10199301529408,2.03510302633043e-07,1.56496035880221e-05,5.65815076146549e-06,7.38359079824655,"Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Mus musculus OX=10090 GN=Uchl1 PE=1 SV=1",0,196.137,55,9,133,9,223,24.8,5.24,"cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;other biological processes","other membranes;cytosol;ER/Golgi;other cell component","signal transduction activity or receptor binding;other molecular function","22223","ENSMUSG00000029223","Uchl1","UCH proteinases","Parkinsons Disease Pathway; Proteasome Degradation"
"22","P12658",1.62118461074504,3.07627528497769,22.8379467396397,-11.2835628462889,1.34003192415714e-09,1.7427022255757e-06,6.3007806358723e-07,12.2705481391934,"Calbindin OS=Mus musculus OX=10090 GN=Calb1 PE=1 SV=2",0,149.018,46,11,77,10,261,30,4.83,"developmental processes;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","other molecular function","12307","ENSMUSG00000028222","Calb1",NA,"Vitamin D Receptor Pathway"
"23","Q01065",1.60358720956537,3.03898006166526,24.0050654282668,-10.085741659643,7.77704232204902e-09,2.54559476483129e-06,9.20365738084047e-07,10.5780073969566,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B OS=Mus musculus OX=10090 GN=Pde1b PE=1 SV=2",0,196.427,30,14,126,13,535,61.2,5.72,"other metabolic processes;developmental processes;signal transduction;other biological processes","other cell component","other molecular function","18574","ENSMUSG00000022489","Pde1b","G alpha (s) signalling events; cGMP effects; Cam-PDE 1 activation","Purine metabolism; G Protein Signaling Pathways"
"24","O08759",1.60069874242845,3.03290170671445,22.3909603843289,-6.87829364980899,3.69676296857159e-06,8.82966233887312e-05,3.19238505979897e-05,4.61883945395959,"Ubiquitin-protein ligase E3A OS=Mus musculus OX=10090 GN=Ube3a PE=1 SV=2",0,51.797,10,7,14,7,870,99.8,5.08,"protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes","cytosol;nucleus;other cell component","other molecular function","22215","ENSMUSG00000025326","Ube3a","Antigen processing: Ubiquitination & Proteasome degradation","Tryptophan metabolism"
"25","P17751",1.59182871611003,3.01431192385302,27.9320069947727,-8.6971544294905,7.26906452174758e-08,9.29425230174573e-06,3.36035864695161e-06,8.39694501259721,"Triosephosphate isomerase OS=Mus musculus OX=10090 GN=Tpi1 PE=1 SV=5",0,276.305,68,13,329,13,249,26.7,7.3,"other metabolic processes;developmental processes","cytosol","other molecular function","21991","ENSMUSG00000023456","Tpi1","Gluconeogenesis; Glycolysis","Fatty Acid Beta Oxidation; Glycolysis and Gluconeogenesis"
"26","Q924M7",1.59061293697555,3.01177279138976,20.8327015297715,-6.15655168101013,8.16657615471001e-06,0.000156235323425787,5.64872464172845e-05,3.72208677939972,"Mannose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Mpi PE=1 SV=1",0,42.362,14,4,34,4,423,46.5,5.95,"protein metabolism;other metabolic processes","cytosol","other molecular function","110119","ENSMUSG00000032306","Mpi","Synthesis of GDP-mannose",NA
"27","Q9R0P3",1.58956736571282,3.00959084568144,21.585674919861,-7.6942324786383,4.23048027091353e-07,2.253016587523e-05,8.14583414115655e-06,6.66071131211672,"S-formylglutathione hydrolase OS=Mus musculus OX=10090 GN=Esd PE=1 SV=1",0,104.47,31,5,42,5,282,31.3,7.12,"other metabolic processes","cytosol;other cell component","other molecular function","13885","ENSMUSG00000021996","Esd","Glutathione conjugation",NA
"28","O35621",1.58937081925341,3.00918086012197,20.7688821901171,-7.72122622114843,8.71445360948517e-07,3.36702565440991e-05,1.21735599647742e-05,6.04309602318167,"Phosphomannomutase 1 OS=Mus musculus OX=10090 GN=Pmm1 PE=1 SV=1",0,43.888,29,6,16,4,262,29.8,5.47,"protein metabolism;other metabolic processes;transport;other biological processes","cytosol;other cell component","other molecular function","29858","ENSMUSG00000022474","Pmm1","Synthesis of GDP-mannose",NA
"29","P63046",1.58510995383811,3.0003066358067,21.2150809839248,-7.82328884869684,4.91640594685564e-07,2.37186321671089e-05,8.57552690727346e-06,6.56639700507614,"Sulfotransferase 4A1 OS=Mus musculus OX=10090 GN=Sult4a1 PE=1 SV=1",0,77.134,37,8,45,8,284,33,5.53,"other metabolic processes","other cell component","other molecular function","29859","ENSMUSG00000018865","Sult4a1","Cytosolic sulfonation of small molecules","Metapathway biotransformation"
"30","D3YWK1",1.58303082905097,2.99598588959579,19.9317207621874,-10.9322278827148,2.21098988274004e-09,1.7427022255757e-06,6.3007806358723e-07,11.7910238347461,"WD repeat domain phosphoinositide-interacting protein 2 OS=Mus musculus OX=10090 GN=Wipi2 PE=1 SV=1",0,43.205,24,5,22,5,425,46.4,5.85,"cell organization and biogenesis;other metabolic processes","other membranes","other molecular function",NA,"ENSMUSG00000029578","Wipi2",NA,NA
"31","O55091",1.58250201316278,2.99488792047217,21.2847172467282,-7.27360519154971,1.29519581878692e-06,4.43857975812108e-05,1.60477888765566e-05,5.59081676795003,"Protein IMPACT OS=Mus musculus OX=10090 GN=Impact PE=1 SV=2",0,55.463,34,7,22,7,318,36.3,5.05,"cell organization and biogenesis;stress response;developmental processes;other biological processes","other cell component","enzyme regulator activity;cytoskeletal activity;translation activity;other molecular function","16210","ENSMUSG00000024423","Impact",NA,NA
"32","P06151",1.57826815976707,2.98611175610661,26.4370326927244,-9.57667276697784,1.71952297670253e-08,3.98625885363805e-06,1.44124120724526e-06,9.80709359444209,"L-lactate dehydrogenase A chain OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=3",0,295.074,47,19,227,18,332,36.5,7.74,"other metabolic processes;other biological processes","cytosol;cytoskeleton","other molecular function","16828","ENSMUSG00000063229","Ldha","Pyruvate metabolism","Glycolysis and Gluconeogenesis"
"33","P58321",1.57681904955844,2.98311387199983,21.3062725014972,-7.71290121741131,2.07838344763284e-06,5.97876581541679e-05,2.16163675717743e-05,5.28440903229228,"Ubiquitin carboxyl-terminal hydrolase isozyme L4 OS=Mus musculus OX=10090 GN=Uchl4 PE=2 SV=1",0,74.712,27,4,29,4,233,26.4,5.1,"protein metabolism;other metabolic processes","other cell component","other molecular function","93841","ENSMUSG00000035337","Uchl4",NA,"Proteasome Degradation"
"34","B2RQR5",1.57324230112068,2.97572725730331,21.3493033533177,-8.08903067693577,4.77628570191799e-07,2.37186321671089e-05,8.57552690727346e-06,6.6326758249005,"Small G protein signaling modulator 1 OS=Mus musculus OX=10090 GN=Sgsm1 PE=1 SV=1",0,92.514,11,7,32,7,1093,123.2,5.66,"other biological processes","other membranes;cytosol","enzyme regulator activity;other molecular function","52850","ENSMUSG00000042216","Sgsm1",NA,NA
"35","A0A0U1RNT6",1.572638754717,2.97448263261617,19.7399694977563,-9.58997750765853,1.68360724436531e-08,3.98625885363805e-06,1.44124120724526e-06,9.8276538983202,"S-adenosylmethionine synthase OS=Mus musculus OX=10090 GN=Mat2a PE=1 SV=1",0,22.432,7,2,8,2,362,39.7,6.04,"other metabolic processes",NA,"other molecular function",NA,"ENSMUSG00000053907","Mat2a",NA,"Methylation"
"36","O88533",1.56843309439276,2.96582422094645,22.9140801514225,-9.85573754959037,1.10905429558834e-08,2.91385531927578e-06,1.05351120242939e-06,10.2336776647319,"Aromatic-L-amino-acid decarboxylase OS=Mus musculus OX=10090 GN=Ddc PE=1 SV=1",0,189.284,33,12,102,12,480,53.8,6.6,"other metabolic processes;transport;developmental processes;other biological processes","ER/Golgi;other cell component","other molecular function","13195","ENSMUSG00000020182","Ddc","Serotonin and melatonin biosynthesis; Catecholamine biosynthesis","SIDS Susceptibility Pathways; Dopaminergic Neurogenesis; Parkinsons Disease Pathway; Biogenic Amine Synthesis; Tryptophan metabolism"
"37","P14152",1.56542465170126,2.95964605065846,27.7113318724115,-7.39220651333021,7.37842759595549e-07,3.20545700316578e-05,1.15894047291965e-05,6.11002679910326,"Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3",0,245.079,41,14,312,14,334,36.5,6.58,"other metabolic processes","cytosol","other molecular function","17449","ENSMUSG00000020321","Mdh1","Gluconeogenesis","Glycolysis and Gluconeogenesis; TCA Cycle"
"38","P61087",1.55385844575049,2.93601318240224,20.8392429600011,-5.23964432867574,5.53094193713026e-05,0.000642992394520069,0.000232475403367713,1.81963506586992,"Ubiquitin-conjugating enzyme E2 K OS=Mus musculus OX=10090 GN=Ube2k PE=1 SV=3",0,32.484,29,5,20,5,200,22.4,5.44,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","nucleus;other cell component","other molecular function","53323","ENSMUSG00000029203","Ube2k","Antigen processing: Ubiquitination & Proteasome degradation; Synthesis of active ubiquitin: roles of E1 and E2 enzymes",NA
"39","Q61481",1.55097697615962,2.9301549867697,21.9196725764503,-6.33765319117989,5.66800929633017e-06,0.000120094756112028,4.34205398188725e-05,4.08536648374524,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A OS=Mus musculus OX=10090 GN=Pde1a PE=1 SV=3",0,116.334,29,13,56,12,545,62.3,5.91,"other metabolic processes;signal transduction;other biological processes","nucleus;other cell component","other molecular function","18573","ENSMUSG00000059173","Pde1a","G alpha (s) signalling events; cGMP effects; Cam-PDE 1 activation","Purine metabolism; G Protein Signaling Pathways"
"40","Q8BIW1",1.54157601182061,2.91112343323436,20.3461723700959,-6.30184660889295,6.09032198413337e-06,0.000125010202809738,4.51977310633124e-05,4.01389091250201,"Exopolyphosphatase PRUNE1 OS=Mus musculus OX=10090 GN=Prune1 PE=1 SV=1",0,96.397,24,7,35,7,454,50.2,5.11,"other metabolic processes;developmental processes;other biological processes","cytosol;nucleus;other cell component","cytoskeletal activity;other molecular function","229589","ENSMUSG00000015711","Prune1",NA,"Purine metabolism"
"41","G5E884",1.53888423488484,2.90569693009008,24.640486802537,-7.35969248144693,7.83947878548252e-07,3.23544019998938e-05,1.1697809678232e-05,6.04996591098945,"Non-specific serine/threonine protein kinase OS=Mus musculus OX=10090 GN=Pak1 PE=1 SV=1",0,254.056,51,19,193,12,544,60.6,5.86,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component","kinase activity;other molecular function","18479","ENSMUSG00000030774","Pak1",NA,"Signaling of Hepatocyte Growth Factor Receptor; Chemokine signaling pathway; IL-3 Signaling Pathway; Alpha6-Beta4 Integrin Signaling Pathway; MAPK signaling pathway; Regulation of Actin Cytoskeleton; FAS pathway and Stress induction of HSP regulation; EGFR1 Signaling Pathway; Integrin-mediated Cell Adhesion; Focal Adhesion"
"42","A0A494B952",1.53656455170634,2.90102866673385,19.8679904923965,-6.18582488079506,1.30217770109843e-05,0.000221201824139177,7.99760366229714e-05,3.41930014254512,"Isochorismatase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Isoc1 PE=1 SV=1",0,28.699,25,5,11,5,257,27.5,7.02,NA,NA,NA,NA,"ENSMUSG00000024601","Isoc1",NA,NA
"43","Q8CAA7",1.53320265192626,2.89427629526638,23.241668258624,-5.95829747496536,1.22409663417724e-05,0.000212518274682489,7.68364790172956e-05,3.31942150624981,"Glucose 1,6-bisphosphate synthase OS=Mus musculus OX=10090 GN=Pgm2l1 PE=1 SV=1",0,91.509,27,15,78,15,621,70.2,6.49,"other metabolic processes",NA,"kinase activity;other molecular function","70974","ENSMUSG00000030729","Pgm2l1","Glycolysis; Glycogen breakdown (glycogenolysis); Galactose catabolism; Glycogen synthesis",NA
"44","Q9CX34",1.52389861157981,2.87567096478341,21.5992089486237,-10.0566847891655,8.13107624230383e-09,2.54559476483129e-06,9.20365738084047e-07,10.5348644126014,"Protein SGT1 homolog OS=Mus musculus OX=10090 GN=Sugt1 PE=1 SV=3",0,68.318,34,9,18,9,336,38.1,5.45,"other biological processes","nucleus;other cell component",NA,"67955","ENSMUSG00000022024","Sugt1","The NLRP3 inflammasome",NA
"45","Q7TQI3",1.51318184295956,2.85438876715421,24.0173702464184,-8.79412087246432,6.17258466173441e-08,8.92141068702447e-06,3.22555688955401e-06,8.55744348345351,"Ubiquitin thioesterase OTUB1 OS=Mus musculus OX=10090 GN=Otub1 PE=1 SV=2",0,128.805,38,8,89,8,271,31.3,4.94,"protein metabolism;DNA metabolism;other metabolic processes;stress response;other biological processes","nucleus;other cell component","other molecular function","107260","ENSMUSG00000024767","Otub1","Ub-specific processing proteases; Ovarian tumor domain proteases",NA
"46","O08997",1.49514309499769,2.81892109362781,21.1525616994535,-5.20842326579106,5.91349566076004e-05,0.000679448583062837,0.000245656223559304,1.7531948611778,"Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1",0,15.556,32,2,13,2,68,7.3,6.51,"stress response;transport;other biological processes","cytosol","other molecular function","11927","ENSMUSG00000018585","Atox1","Ion influx/efflux at host-pathogen interface",NA
"47","Q9EQK5",1.48821712532429,2.80542068478456,23.5677404329602,-8.26401965736861,1.53081277302147e-07,1.42071156458597e-05,5.13661587385992e-06,7.66432906635926,"Major vault protein OS=Mus musculus OX=10090 GN=Mvp PE=1 SV=4",0,28.23,6,3,9,3,861,95.9,5.59,"cell cycle OR cell proliferation;protein metabolism;other metabolic processes;signal transduction;other biological processes","cytosol;cytoskeleton;nucleus;other cell component","other molecular function","78388",NA,"Mvp","Neutrophil degranulation",NA
"48","Q3TDX8",1.48627513112799,2.80164688272605,23.8034610352451,-8.26439776034854,1.52980196725949e-07,1.42071156458597e-05,5.13661587385992e-06,7.66497990432051,"Cytochrome b5 reductase 4 OS=Mus musculus OX=10090 GN=Cyb5r4 PE=2 SV=3",0.016,1.95,1,1,2,1,528,59.7,6.35,"cell-cell signaling;other metabolic processes;transport;other biological processes","ER/Golgi;other cell component","other molecular function","266690","ENSMUSG00000032872","Cyb5r4","Erythrocytes take up carbon dioxide and release oxygen","Oxidation by Cytochrome P450"
"49","Q9QZX7",1.48626525453892,2.80162770291363,20.8783635614357,-8.75750168532641,6.56485434975158e-08,8.92141068702447e-06,3.22555688955401e-06,8.49698098695236,"Serine racemase OS=Mus musculus OX=10090 GN=Srr PE=1 SV=1",0,99.884,39,8,54,8,339,36.3,6.02,"other metabolic processes;developmental processes;other biological processes","plasma membrane;other membranes;other cell component","other molecular function","27364","ENSMUSG00000001323","Srr","Serine biosynthesis",NA
"50","Q920E5",1.48514173204544,2.79944673859814,21.9014762219627,-6.57092709383204,3.5639328583514e-06,8.67003666343388e-05,3.13467202368556e-05,4.54671730604123,"Farnesyl pyrophosphate synthase OS=Mus musculus OX=10090 GN=Fdps PE=1 SV=1",0,75.357,22,8,42,8,353,40.6,5.66,"other metabolic processes;other biological processes","cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","other molecular function","110196","ENSMUSG00000059743","Fdps","Cholesterol biosynthesis","Cholesterol Biosynthesis; Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways)"
"51","P06745",1.4826063798941,2.79453138905149,27.5147567179793,-9.16496786399947,3.33799210655875e-08,5.9795576781582e-06,2.16192305700273e-06,9.15964839114723,"Glucose-6-phosphate isomerase OS=Mus musculus OX=10090 GN=Gpi PE=1 SV=4",0,624.55,56,26,612,26,558,62.7,8.13,"other metabolic processes;stress response;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function","14751","ENSMUSG00000036427","Gpi","TP53 Regulates Metabolic Genes; Neutrophil degranulation; Gluconeogenesis; Glycolysis","Glycolysis and Gluconeogenesis"
"52","Q80TB8",1.47339435826106,2.77674435269739,24.8149686266961,-4.78378238112496,0.000148297671534494,0.00131630883675099,0.000475914537074079,0.840958644240231,"Synaptic vesicle membrane protein VAT-1 homolog-like OS=Mus musculus OX=10090 GN=Vat1l PE=1 SV=2",0,179.883,49,20,129,20,417,45.8,5.06,NA,NA,"other molecular function","270097","ENSMUSG00000046844","Vat1l",NA,NA
"53","Q9D1A2",1.46639947963324,2.763313946969,25.1086790493003,-7.69998885938266,4.18636291377964e-07,2.253016587523e-05,8.14583414115655e-06,6.67108043178655,"Cytosolic non-specific dipeptidase OS=Mus musculus OX=10090 GN=Cndp2 PE=1 SV=1",0,158.759,34,13,93,13,475,52.7,5.66,"protein metabolism;other metabolic processes","cytosol;nucleus","other molecular function","66054","ENSMUSG00000024644","Cndp2","Glutathione synthesis and recycling",NA
"54","P00493",1.46506113306173,2.76075168898484,21.8773057230828,-5.79546300901505,1.71328377675972e-05,0.000270690166859133,9.78686626227061e-05,2.98493170314284,"Hypoxanthine-guanine phosphoribosyltransferase OS=Mus musculus OX=10090 GN=Hprt1 PE=1 SV=3",0,55.1,32,6,48,6,218,24.6,6.68,"cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes","cytosol;other cell component","other molecular function","15452","ENSMUSG00000025630","Hprt1","Purine salvage","Purine metabolism; Nucleotide Metabolism"
